item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
بلولي,nonword,,,,,,,,,5,,,,,,
زبدية,word,0.52,0.19,2.72,زُبْديَّةٌ,NOUN-FS + NSUFF,زبدي,1.0,0.01,5,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
جريحا,word,0.81,0.26,2.91,جَريحًا,NOUN-MS + CASE,جريح,6.0,0.05,5,0.0,7.0,0.0,0.0,1.0,other_7k_frequent
يصبكر,nonword,,,,,,,,,5,,,,,,
محاكم,word,1.84,0.46,3.27,مَحاكِمُ,NOUN-FP,محكمة,9.0,0.08,5,1.0,6.0,0.0,1.0,1.0,other_7k_frequent
تسرد,word,0.51,0.18,2.71,تَسْرُدُ,V,سرد,8.0,0.07,4,0.0,20.0,1.0,1.0,1.0,other_7k_frequent
الرجل,word,770.97,2.89,5.89,الرَّجُلُ,DET + NOUN-MS,رجل,57.0,0.47,5,1.0,11.0,0.0,9.0,1.0,most_5k_frequent
عواقب,word,13.2,1.16,4.13,عَواقِبُ,NOUN-FP,عاقبة,6.0,0.05,5,0.0,0.0,0.0,1.0,1.0,other_7k_frequent
همسا,word,0.73,0.24,2.87,هَمْسًا,V + PRON,همس,7.0,0.06,4,0.0,3.0,0.0,1.0,1.0,other_7k_frequent
بضرموي,nonword,,,,,,,,,6,,,,,,
الدكتور,word,89.78,1.96,4.96,الدُّكْتورُ,DET + NOUN-MS,دكتور,15.0,0.13,7,0.0,2.0,0.0,3.0,1.0,most_5k_frequent
لثقفون,nonword,,,,,,,,,6,,,,,,
ريوح,nonword,,,,,,,,,4,,,,,,
تحصل,word,154.36,2.2,5.19,تَحْصُلُ,V,حصل,61.0,0.5,4,0.0,16.0,0.0,10.0,1.0,most_5k_frequent
كنثل,nonword,,,,,,,,,4,,,,,,
وجدته,word,46.36,1.68,4.67,وَجَدْتَهُ,V + PRON + PRON,وجد,150.0,1.22,5,0.0,9.0,0.0,4.0,1.0,other_7k_frequent
اعب,nonword,,,,,,,,,3,,,,,,
تجية,nonword,,,,,,,,,4,,,,,,
جندي,word,31.61,1.52,4.5,جُنْديّ,NOUN-MS,جندي,24.0,0.2,4,0.0,16.0,0.0,6.0,1.0,other_7k_frequent
يعتمكة,nonword,,,,,,,,,6,,,,,,
