item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
خلذ,nonword,,,,,,,,,3,,,,,,
تؤوت,nonword,,,,,,,,,4,,,,,,
رمزيد,nonword,,,,,,,,,5,,,,,,
الموضوع,word,124.6,2.1,5.1,المَوْضوعُ,DET + NOUN-MS,موضوع,18.0,0.15,7,1.0,1.0,0.0,2.0,1.0,most_5k_frequent
وشروف,nonword,,,,,,,,,5,,,,,,
عقليا,word,14.29,1.19,4.16,عَقْليًّا,NOUN-MS + CASE,عقلي,3.0,0.03,5,0.0,6.0,0.0,0.0,1.0,other_7k_frequent
الهر,word,1.91,0.47,3.29,الهِرُّ,DET + NOUN-MS,هر,2.0,0.02,4,0.0,13.0,0.0,15.0,1.0,other_7k_frequent
غضب,word,21.84,1.36,4.34,غَضَبٌ,NOUN-MS,غضب,36.0,0.3,3,0.0,5.0,0.0,13.0,1.0,other_7k_frequent
الدواء,word,29.76,1.49,4.48,الدَّواءُ,DET + NOUN-MS,دواء,21.0,0.18,6,1.0,14.0,0.0,2.0,1.0,most_5k_frequent
رمتفى,nonword,,,,,,,,,5,,,,,,
فزح,nonword,,,,,,,,,3,,,,,,
المنتخبين,word,0.43,0.16,2.64,المُنْتَخَبينَ,DET + NOUN-MD + NSUFF,منتخب,4.0,0.04,9,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
مشوت,nonword,,,,,,,,,4,,,,,,
خزانة,word,25.18,1.42,4.41,خِزانَةُ,NOUN-FS + NSUFF,خزانة,11.0,0.09,5,0.0,2.0,0.0,2.0,1.0,other_7k_frequent
داعما,word,1.46,0.4,3.17,داعِمًا,ADJ-MS + CASE,داعم,7.0,0.06,5,1.0,5.0,0.0,0.0,1.0,other_7k_frequent
تدايقان,nonword,,,,,,,,,7,,,,,,
وبدود,nonword,,,,,,,,,5,,,,,,
عذاب,word,3.65,0.67,3.57,عَذابٌ,NOUN-MS,عذاب,5.0,0.05,4,0.0,5.0,0.0,2.0,1.0,other_7k_frequent
معلق,word,5.08,0.79,3.71,مُعَلَّقٌ,NOUN-MS,معلق,6.0,0.05,4,0.0,16.0,1.0,3.0,1.0,other_7k_frequent
عهز,nonword,,,,,,,,,3,,,,,,
المصابير,nonword,,,,,,,,,8,,,,,,
قيانوا,nonword,,,,,,,,,6,,,,,,
التدابير,word,3.0,0.61,3.48,التَّدابيرُ,DET + NOUN-FP,تدبير,6.0,0.05,8,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
البوعان,nonword,,,,,,,,,7,,,,,,
الضابط,word,42.94,1.65,4.64,الضّابِطُ,DET + NOUN-MS,ضابط,26.0,0.22,6,1.0,3.0,1.0,3.0,1.11,most_5k_frequent
طابع,word,4.65,0.76,3.67,طابَعٌ,NOUN-MS,طابع,7.0,0.06,4,0.0,8.0,1.0,4.0,1.07,other_7k_frequent
تنتظرها,word,1.03,0.31,3.02,تَنْتَظِرُها,V + PRON,انتظر,81.0,0.66,7,1.0,6.0,0.0,0.0,1.0,other_7k_frequent
الصليب,word,10.45,1.06,4.02,الصَّليبُ,DET + NOUN-MS,صليب,5.0,0.05,6,1.0,3.0,0.0,1.0,1.0,most_5k_frequent
الجنيوتر,nonword,,,,,,,,,8,,,,,,
الإقليم,word,1.29,0.36,3.12,الإِقْليمِ,DET + NOUN-MS,إقليم,3.0,0.03,7,1.0,0.0,0.0,1.0,1.0,most_5k_frequent
وتتنع,nonword,,,,,,,,,5,,,,,,
بادراف,nonword,,,,,,,,,6,,,,,,
عالمة,word,6.14,0.86,3.79,عالِمَةِ,NOUN-FS + NSUFF,عالم,30.0,0.25,5,0.0,13.0,2.0,1.0,1.11,other_7k_frequent
اللاعبين,word,18.82,1.3,4.28,اللّاعِبينَ,DET + NOUN-MP + NSUFF,لاعب,21.0,0.18,8,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
عاردهم,nonword,,,,,,,,,6,,,,,,
يتتبع,word,1.68,0.43,3.23,يَتَتَبَّعُ,V,تتبع,13.0,0.11,5,1.0,8.0,0.0,0.0,1.0,other_7k_frequent
يسانعوا,nonword,,,,,,,,,7,,,,,,
المالكون,word,0.67,0.23,2.83,المالِكونَ,DET + NOUN-FP + NSUFF,مالك,20.0,0.17,8,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
السفارك,nonword,,,,,,,,,7,,,,,,
مفزع,word,1.12,0.33,3.05,مُفْزِعٌ,NOUN-MS,مفزع,3.0,0.03,4,0.0,5.0,0.0,1.0,1.0,other_7k_frequent
سينتا,nonword,,,,,,,,,5,,,,,,
القيعات,nonword,,,,,,,,,7,,,,,,
المعسون,nonword,,,,,,,,,7,,,,,,
مواطرها,nonword,,,,,,,,,7,,,,,,
المتخلابة,nonword,,,,,,,,,9,,,,,,
الروح,word,35.8,1.57,4.56,الرّوحُ,DET + NOUN-MS,روح,35.0,0.29,5,0.0,11.0,0.0,4.0,1.0,most_5k_frequent
أعجد,nonword,,,,,,,,,4,,,,,,
مبلغا,word,9.05,1.01,3.96,مَبْلَغًا,NOUN-MS + CASE,مبلغ,9.0,0.08,5,0.0,1.0,0.0,1.0,1.0,other_7k_frequent
شأنب,nonword,,,,,,,,,4,,,,,,
النموذجي,word,1.19,0.35,3.08,النَّموذَجيُّ,DET + ADJ-MS,نموذجي,5.0,0.05,8,0.0,0.0,0.0,1.0,1.0,other_7k_frequent
أخططاع,nonword,,,,,,,,,6,,,,,,
التوالي,word,11.5,1.1,4.07,التَّوالي,DET + NOUN-MS,توالي,1.0,0.01,7,1.0,4.0,0.0,1.0,1.0,most_5k_frequent
إرسان,nonword,,,,,,,,,5,,,,,,
أيضوا,nonword,,,,,,,,,5,,,,,,
وتخيلة,nonword,,,,,,,,,6,,,,,,
حرأل,nonword,,,,,,,,,4,,,,,,
قوالب,word,1.36,0.38,3.14,قَوالِبُ,NOUN-FP,قالب,5.0,0.05,5,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
متوقعة,word,8.14,0.97,3.92,مُتَوَقَّعَةٌ,ADJ-MP + NSUFF,متوقع,7.0,0.06,6,0.0,3.0,0.0,0.0,1.0,other_7k_frequent
الأوتار,word,2.87,0.59,3.46,الأَوْتارُ,DET + NOUN-FP,وتر,7.0,0.06,7,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
إحالة,word,0.77,0.25,2.89,إِحالَةُ,NOUN-FS + NSUFF,إحالة,1.0,0.01,5,0.0,11.0,0.0,0.0,1.0,most_5k_frequent
فدية,word,3.95,0.7,3.6,فِدْيَةٌ,NOUN-FS + NSUFF,فدية,2.0,0.02,4,0.0,7.0,0.0,1.0,1.0,other_7k_frequent
نلعض,nonword,,,,,,,,,4,,,,,,
يسلط,word,0.94,0.29,2.98,يُسَلِّطُ,NOUN-FP,سلط,4.0,0.04,4,0.0,6.0,0.0,0.0,1.0,other_7k_frequent
فوهة,word,2.61,0.56,3.42,فوَّهَةٌ,NOUN-FS + NSUFF,فوه,7.0,0.06,4,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
الأعياد,word,5.74,0.83,3.76,الأَعْيادِ,DET + NOUN-FP,عيد,9.0,0.08,7,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
القرار,word,55.82,1.76,4.75,القَرارُ,DET + NOUN-MS,قرار,25.0,0.21,6,1.0,7.0,0.0,3.0,1.0,most_5k_frequent
السجينة,word,2.35,0.53,3.38,السَّجينَةُ,DET + NOUN-FS + NSUFF,سجين,13.0,0.11,7,0.0,5.0,0.0,0.0,1.0,other_7k_frequent
ينتخدات,nonword,,,,,,,,,7,,,,,,
اذهب,word,297.89,2.48,5.48,اذْهَبْ,V,أذهب,12.0,0.1,4,0.0,8.0,1.0,6.0,1.06,most_5k_frequent
صلب,word,16.61,1.25,4.23,صُلْبٌ,NOUN-MS,صلب,9.0,0.08,3,0.0,18.0,0.0,9.0,1.0,other_7k_frequent
تربيتهم,word,0.63,0.22,2.8,تَرْبيَتُهُمْ,NOUN-FS + NSUFF + PRON,تربية,14.0,0.12,7,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
عنوانها,word,3.33,0.64,3.53,عُنْوانُها,NOUN-MS + PRON,عنوان,19.0,0.16,7,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
مطيفا,nonword,,,,,,,,,5,,,,,,
تمويل,word,7.63,0.94,3.89,تَمْويلُ,NOUN-MS,تمويل,9.0,0.08,5,0.0,5.0,0.0,4.0,1.0,most_5k_frequent
تطرخ,nonword,,,,,,,,,4,,,,,,
مرح,word,13.1,1.15,4.12,مَرَحَ,NOUN-MS,مرح,19.0,0.16,3,0.0,23.0,1.0,20.0,1.0,other_7k_frequent
يدفعهم,word,0.53,0.19,2.73,يَدْفَعُهُمْ,V + PRON,دفع,89.0,0.73,6,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
الأسطوبة,nonword,,,,,,,,,8,,,,,,
