item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
أكلت,word,27.39,1.46,4.44,أَكَلتَ,V + PRON,أكل,80.0,0.66,4,0.0,21.0,0.0,5.0,1.0,other_7k_frequent
الخريطة,word,17.6,1.27,4.25,الخَريطَةُ,DET + NOUN-FS + NSUFF,خريطة,7.0,0.06,7,0.0,1.0,0.0,0.0,1.0,most_5k_frequent
نتعلمه,word,0.79,0.26,2.9,نَتَعَلَّمُهُ,V + PRON,تعلم,63.0,0.52,6,0.0,4.0,0.0,1.0,1.0,other_7k_frequent
طغل,nonword,,,,,,,,,3,,,,,,
تقاس,word,0.72,0.24,2.86,تُقاسُ,V,قاسى,4.0,0.04,4,0.0,9.0,0.0,1.0,1.0,other_7k_frequent
حيبح,nonword,,,,,,,,,4,,,,,,
قفل,word,11.89,1.12,4.08,قَفَلُ,NOUN-MS,قفل,10.0,0.09,3,0.0,17.0,1.0,10.0,1.0,other_7k_frequent
تشويش,word,3.23,0.63,3.51,تَشْويشٌ,NOUN-MS,تشويش,2.0,0.02,5,1.0,2.0,0.0,0.0,1.0,most_5k_frequent
خطق,nonword,,,,,,,,,3,,,,,,
أفقيع,nonword,,,,,,,,,5,,,,,,
منشفة,word,7.24,0.92,3.86,مِنْشَفَةٌ,NOUN-FS + NSUFF,منشف,2.0,0.02,5,0.0,4.0,0.0,1.0,1.0,other_7k_frequent
حقواق,nonword,,,,,,,,,5,,,,,,
الخريخي,nonword,,,,,,,,,7,,,,,,
الموهبة,word,8.59,0.99,3.94,المَوْهِبَةُ,DET + NOUN-FS + NSUFF,موهبة,16.0,0.14,7,0.0,0.0,0.0,3.0,1.0,other_7k_frequent
قائفيا,nonword,,,,,,,,,6,,,,,,
حفق,nonword,,,,,,,,,3,,,,,,
بتشح,nonword,,,,,,,,,4,,,,,,
تتفجين,nonword,,,,,,,,,6,,,,,,
ترياق,word,2.22,0.51,3.35,تِرْياقُ,NOUN-MS,ترياق,2.0,0.02,5,0.0,1.0,0.0,0.0,1.0,most_5k_frequent
نظامك,word,2.43,0.54,3.39,نِظامُكَ,NOUN-MS + PRON,نظام,21.0,0.18,5,0.0,4.0,0.0,1.0,1.0,other_7k_frequent
التارح,nonword,,,,,,,,,6,,,,,,
المخاض,word,3.69,0.68,3.57,المَخاضُ,DET + NOUN-MS,مخاض,2.0,0.02,6,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
ويسقة,nonword,,,,,,,,,5,,,,,,
خيارها,word,0.9,0.28,2.96,خيارُها,NOUN-MS + PRON,خيار,24.0,0.2,6,1.0,3.0,0.0,0.0,1.0,other_7k_frequent
رجوية,nonword,,,,,,,,,5,,,,,,
ميرار,nonword,,,,,,,,,5,,,,,,
العناد,word,1.4,0.39,3.15,العِنادُ,DET + NOUN-MS,عناد,5.0,0.05,6,1.0,7.0,0.0,0.0,1.0,other_7k_frequent
عارض,word,3.48,0.66,3.55,عارَضَ,NOUN-MS,عارض,16.0,0.14,4,0.0,5.0,1.0,10.0,1.05,other_7k_frequent
تنتفز,nonword,,,,,,,,,5,,,,,,
الأعافعة,nonword,,,,,,,,,8,,,,,,
يستعملون,word,1.73,0.44,3.24,يَسْتَعْمِلونَ,NOUN-MS,استعمل,26.0,0.22,8,0.0,0.0,0.0,0.0,1.0,other_7k_frequent
أعضح,nonword,,,,,,,,,4,,,,,,
الأساكية,nonword,,,,,,,,,8,,,,,,
مؤذير,nonword,,,,,,,,,5,,,,,,
الانفصال,word,10.87,1.08,4.04,الِانْفِصالُ,DET + NOUN-MP,انفصال,7.0,0.06,8,1.0,4.0,0.0,1.0,1.0,other_7k_frequent
انترق,nonword,,,,,,,,,5,,,,,,
البيم,nonword,,,,,,,,,5,,,,,,
مجاهم,nonword,,,,,,,,,5,,,,,,
بلدان,word,2.7,0.57,3.44,بُلْدانٌ,NOUN-FP,بلد,32.0,0.27,5,0.0,3.0,1.0,0.0,1.17,most_5k_frequent
يستقر,word,4.41,0.74,3.65,يَسْتَقِرُّ,V,استقر,8.0,0.07,5,0.0,9.0,1.0,0.0,1.1,other_7k_frequent
سائفيه,nonword,,,,,,,,,6,,,,,,
قلخة,nonword,,,,,,,,,4,,,,,,
نافقة,word,0.51,0.18,2.71,نافِقَةً,NOUN-FS + NSUFF,نافق,3.0,0.03,5,0.0,3.0,0.0,1.0,1.0,other_7k_frequent
القبونة,nonword,,,,,,,,,7,,,,,,
صديعة,nonword,,,,,,,,,5,,,,,,
أكلوا,word,1.3,0.37,3.12,أَكَلوا,V + PRON,أكل,80.0,0.66,5,0.0,5.0,0.0,3.0,1.0,other_7k_frequent
تفجير,word,13.79,1.17,4.14,تَفْجيرٌ,NOUN-MS,تفجير,11.0,0.09,5,0.0,3.0,0.0,4.0,1.0,most_5k_frequent
مراسل,word,8.11,0.96,3.91,مُراسِلُ,NOUN-MS,مراسل,9.0,0.08,5,0.0,5.0,1.0,2.0,1.1,other_7k_frequent
يومشم,nonword,,,,,,,,,5,,,,,,
فلتلف,nonword,,,,,,,,,5,,,,,,
عطوف,word,1.53,0.41,3.19,عَطوفٌ,ADJ-MS,عطوف,3.0,0.03,4,0.0,3.0,0.0,2.0,1.0,other_7k_frequent
البقية,word,23.14,1.39,4.37,البَقيَّةُ,DET + NOUN-FS + NSUFF,بقية,20.0,0.17,6,0.0,7.0,0.0,6.0,1.0,other_7k_frequent
ظاهدها,nonword,,,,,,,,,6,,,,,,
الطفيليزي,nonword,,,,,,,,,9,,,,,,
تجميعه,word,0.58,0.2,2.77,تَجْميعُهُ,NOUN-MS + PRON,تجميع,6.0,0.05,6,0.0,0.0,0.0,1.0,1.0,other_7k_frequent
