item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
انتهاكات,word,1.2,0.35,3.08,انْتِهاكاتٌ,NOUN-FP + NSUFF,انتهاك,7.0,0.06,8,1.0,0.0,0.0,0.0,1.0,most_5k_frequent
بحرا,word,0.55,0.2,2.75,بَحْرًا,NOUN-MS + CASE,بحر,11.0,0.09,4,0.0,13.0,1.0,2.0,1.06,other_7k_frequent
يجهز,word,3.93,0.7,3.6,يُجَهِّزُ,V,جهز,17.0,0.14,4,0.0,9.0,0.0,1.0,1.0,other_7k_frequent
رادوا,nonword,,,,,,,,,5,,,,,,
تدريس,word,2.34,0.53,3.37,تَدْريسُ,NOUN-MS,تدريس,6.0,0.05,5,0.0,7.0,1.0,2.0,1.07,most_5k_frequent
أمسير,nonword,,,,,,,,,5,,,,,,
المدرسية,word,8.5,0.98,3.93,المَدْرَسيَّةُ,DET + ADJ-FS + NSUFF,مدرسي,4.0,0.04,8,0.0,1.0,0.0,0.0,1.0,most_5k_frequent
العثرها,nonword,,,,,,,,,7,,,,,,
فازت,word,6.99,0.91,3.85,فازَتْ,V + PRON,فاز,33.0,0.27,4,0.0,6.0,0.0,1.0,1.0,other_7k_frequent
دبلولانية,nonword,,,,,,,,,9,,,,,,
المهدفقة,nonword,,,,,,,,,8,,,,,,
بحابع,nonword,,,,,,,,,5,,,,,,
المتهمين,word,3.37,0.65,3.53,المُتَّهَمينَ,DET + NOUN-MP + NSUFF,متهم,10.0,0.09,8,1.0,1.0,1.0,0.0,1.33,most_5k_frequent
المسلمين,word,4.7,0.76,3.68,المُسْلِمينَ,DET + NOUN-MP + NSUFF,مسلم,10.0,0.09,8,1.0,4.0,0.0,0.0,1.0,most_5k_frequent
زخط,nonword,,,,,,,,,3,,,,,,
مفصب,nonword,,,,,,,,,4,,,,,,
عادوا,word,9.44,1.02,3.98,عادوا,V + PRON,عاد,57.0,0.47,5,1.0,10.0,0.0,2.0,1.0,other_7k_frequent
بقايا,word,16.56,1.25,4.22,بَقايا,NOUN-FP,بقية,20.0,0.17,5,1.0,2.0,1.0,2.0,1.14,most_5k_frequent
التاريخي,word,3.12,0.62,3.5,التّاريخيُّ,DET + ADJ-MS,تاريخي,5.0,0.05,8,1.0,0.0,0.0,1.0,1.0,most_5k_frequent
يتبع,word,13.06,1.15,4.12,يَتْبَعُ,V,تبع,33.0,0.27,4,0.0,11.0,1.0,6.0,1.05,other_7k_frequent
أعرق,word,0.54,0.19,2.74,أَعْرَقُ,ADJ-FP,أعرق,1.0,0.01,4,0.0,19.0,0.0,1.0,1.0,other_7k_frequent
عقيدة,word,1.66,0.43,3.23,عَقيدَةٌ,NOUN-FS + NSUFF,عقيدة,2.0,0.02,5,0.0,6.0,0.0,0.0,1.0,other_7k_frequent
تبرعت,word,2.89,0.59,3.47,تَبَرَّعَتْ,V + PRON,تبرع,15.0,0.13,5,1.0,5.0,0.0,1.0,1.0,other_7k_frequent
ينال,word,6.41,0.87,3.81,يَنالُ,V,نال,26.0,0.22,4,0.0,13.0,0.0,5.0,1.0,other_7k_frequent
خاشطة,nonword,,,,,,,,,5,,,,,,
متسلق,word,0.86,0.27,2.94,مُتَسَلِّقٌ,NOUN-MS,متسلق,3.0,0.03,5,0.0,12.0,1.0,0.0,1.07,other_7k_frequent
جمامحي,nonword,,,,,,,,,6,,,,,,
حصائق,nonword,,,,,,,,,5,,,,,,
ليمون,word,11.55,1.1,4.07,لَيْمونٌ,NOUN-MP,ليمون,4.0,0.04,5,0.0,10.0,0.0,3.0,1.0,other_7k_frequent
المتواجدون,word,2.13,0.5,3.33,المُتَواجِدونَ,DET + ADJ-MS + NSUFF,متواجد,10.0,0.09,10,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
مهم,word,132.32,2.13,5.13,مُهِمٌّ,NOUN-MS,مهم,8.0,0.07,3,1.0,21.0,1.0,16.0,1.0,other_7k_frequent
المتقرات,nonword,,,,,,,,,8,,,,,,
المتحكمة,word,0.76,0.25,2.89,المُتَحَكِّمَةَ,DET + ADJ-MP + NSUFF,متحكم,5.0,0.05,8,1.0,0.0,0.0,0.0,1.0,other_7k_frequent
مترقلت,nonword,,,,,,,,,6,,,,,,
غرعي,nonword,,,,,,,,,4,,,,,,
نصرخة,nonword,,,,,,,,,5,,,,,,
الفعتها,nonword,,,,,,,,,7,,,,,,
شغش,nonword,,,,,,,,,3,,,,,,
تصواقفه,nonword,,,,,,,,,7,,,,,,
فديد,nonword,,,,,,,,,4,,,,,,
