item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
نخرد,nonword,,,,,,,,,4,,,,,,
سيفكر,word,2.13,0.5,3.33,سَيُفَكِّرُ,FUT_PART + V,فكر,68.0,0.56,5,0.0,12.0,0.0,0.0,1.0,other_7k_frequent
الدموية,word,11.35,1.1,4.06,الدَّمَويَّةُ,DET + ADJ-FS + NSUFF,دموي,5.0,0.05,7,0.0,1.0,0.0,0.0,1.0,most_5k_frequent
شرص,nonword,,,,,,,,,3,,,,,,
مبتل,word,1.8,0.45,3.26,مُبَتَّلٌ,ADJ-MS,مبتل,3.0,0.03,4,0.0,7.0,1.0,3.0,1.08,other_7k_frequent
سراح,word,22.4,1.37,4.36,سَراحُ,NOUN-MS,سراح,9.0,0.08,4,0.0,11.0,0.0,3.0,1.0,other_7k_frequent
جزئية,word,3.38,0.65,3.53,جُزْئيَّةٌ,ADJ-FS + NSUFF,جزئية,2.0,0.02,5,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
صغيريد,nonword,,,,,,,,,6,,,,,,
أدفض,nonword,,,,,,,,,4,,,,,,
المذكريين,nonword,,,,,,,,,9,,,,,,
الصداءة,nonword,,,,,,,,,7,,,,,,
فطش,nonword,,,,,,,,,3,,,,,,
يتحول,word,16.41,1.25,4.22,يَتَحَوَّلُ,V,تحول,31.0,0.26,5,0.0,13.0,0.0,2.0,1.0,other_7k_frequent
عاجز,word,7.63,0.94,3.89,عاجِزٌ,ADJ-MS,عاجز,12.0,0.1,4,0.0,4.0,0.0,2.0,1.0,other_7k_frequent
الاستهجات,nonword,,,,,,,,,9,,,,,,
خيفي,nonword,,,,,,,,,4,,,,,,
صبر,word,2.33,0.53,3.37,صَبْرٌ,NOUN-MS,صبر,14.0,0.12,3,0.0,24.0,1.0,13.0,1.0,other_7k_frequent
فيوة,nonword,,,,,,,,,4,,,,,,
الضاننا,nonword,,,,,,,,,7,,,,,,
السطينيات,nonword,,,,,,,,,9,,,,,,
بشور,word,1.39,0.38,3.15,بُشورٌ,NOUN-FP,بشور,1.0,0.01,4,0.0,14.0,0.0,1.0,1.0,other_7k_frequent
ميعاد,word,2.81,0.59,3.45,ميعادٌ,NOUN-MS,ميعاد,2.0,0.02,5,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
تقع,word,36.03,1.57,4.56,تَقَعُ,V,وقع,31.0,0.26,3,0.0,20.0,0.0,10.0,1.0,most_5k_frequent
ناقش,word,1.01,0.31,3.01,ناقَشَ,V,ناقش,23.0,0.19,4,0.0,3.0,1.0,5.0,1.09,other_7k_frequent
خاركه,nonword,,,,,,,,,5,,,,,,
يخشح,nonword,,,,,,,,,4,,,,,,
كيس,word,30.34,1.5,4.49,كيسْ,NOUN-MS,كيس,15.0,0.13,3,0.0,36.0,0.0,9.0,1.0,other_7k_frequent
يطرس,nonword,,,,,,,,,4,,,,,,
حركات,word,9.39,1.02,3.98,حَرَكاتٌ,NOUN-FP + NSUFF,حركة,23.0,0.19,5,0.0,2.0,0.0,6.0,1.0,other_7k_frequent
اذكرود,nonword,,,,,,,,,6,,,,,,
حروف,word,3.6,0.67,3.56,حُروفٌ,NOUN-FP,حرف,16.0,0.14,4,0.0,8.0,0.0,1.0,1.0,other_7k_frequent
مؤيد,word,1.68,0.43,3.23,مُؤَيِّدٌ,NOUN-MS,مؤيد,6.0,0.05,4,0.0,11.0,1.0,3.0,1.06,other_7k_frequent
يقوم,word,132.01,2.13,5.13,يَقومُ,V,قام,67.0,0.55,4,0.0,19.0,0.0,7.0,1.0,other_7k_frequent
بمزف,nonword,,,,,,,,,4,,,,,,
فيعة,nonword,,,,,,,,,4,,,,,,
كافضت,nonword,,,,,,,,,5,,,,,,
تخفيز,nonword,,,,,,,,,5,,,,,,
الشطرتي,nonword,,,,,,,,,7,,,,,,
صعوبة,word,44.4,1.66,4.65,صُعوبَةُ,NOUN-FS + NSUFF,صعوبة,7.0,0.06,5,0.0,2.0,0.0,2.0,1.0,other_7k_frequent
طريقها,word,25.79,1.43,4.42,طَريقُها,NOUN-MS + PRON,طريق,43.0,0.35,6,0.0,3.0,0.0,3.0,1.0,other_7k_frequent
وطنه,word,1.96,0.48,3.3,وَطَنُهُ,NOUN-MS + PRON,وطن,13.0,0.11,4,0.0,9.0,0.0,4.0,1.0,other_7k_frequent
أحزاب,word,0.58,0.2,2.77,أَحْزابٌ,NOUN-FP,حزب,15.0,0.13,5,0.0,1.0,0.0,0.0,1.0,most_5k_frequent
الإفراط,word,3.14,0.62,3.5,الإِفْراطُ,DET + NOUN-MS,إفراط,3.0,0.03,7,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
يخينا,nonword,,,,,,,,,5,,,,,,
أتدرون,word,0.92,0.29,2.97,أَتَدْرونَ,NOUN-MS,تدرك,5.0,0.05,6,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
مقصح,nonword,,,,,,,,,4,,,,,,
أحتاج,word,334.0,2.53,5.53,أَحْتاجُ,V,احتاج,79.0,0.65,5,0.0,5.0,0.0,6.0,1.0,other_7k_frequent
عقوه,nonword,,,,,,,,,4,,,,,,
معتبابات,nonword,,,,,,,,,8,,,,,,
تخلم,nonword,,,,,,,,,4,,,,,,
لضاك,nonword,,,,,,,,,4,,,,,,
تفاتيك,nonword,,,,,,,,,6,,,,,,
المحادثات,word,6.99,0.91,3.85,المُحادَثاتُ,DET + NOUN-FP + NSUFF,محادثة,13.0,0.11,9,1.0,0.0,0.0,0.0,0.0,most_5k_frequent
مرخر,nonword,,,,,,,,,4,,,,,,
مطرؤ,nonword,,,,,,,,,4,,,,,,
ألتقي,word,14.51,1.2,4.17,أَلْتَقي,V,التقى,38.0,0.31,5,0.0,6.0,1.0,4.0,1.08,other_7k_frequent
ندرجم,nonword,,,,,,,,,5,,,,,,
ينقل,word,6.34,0.87,3.81,يَنْقُلُ,V,نقل,66.0,0.54,4,0.0,16.0,0.0,6.0,1.0,other_7k_frequent
تعساق,nonword,,,,,,,,,5,,,,,,
أنتفز,nonword,,,,,,,,,5,,,,,,
يضاف,word,0.82,0.27,2.92,يُضافُ,V,أضاف,28.0,0.23,4,0.0,5.0,0.0,1.0,1.0,other_7k_frequent
المتوقعة,word,2.62,0.56,3.42,المُتَوَقَّعَةُ,DET + NOUN-MP + NSUFF,متوقع,7.0,0.06,8,0.0,0.0,0.0,0.0,1.0,most_5k_frequent
شارب,word,8.42,0.98,3.93,شارِبُ,NOUN-MS,شارب,6.0,0.05,4,0.0,16.0,1.0,5.0,1.0,other_7k_frequent
الاستقامة,word,0.65,0.22,2.82,الِاسْتِقامَةُ,DET + NOUN-FS + NSUFF,استقامة,3.0,0.03,9,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
إشهار,word,0.49,0.18,2.7,إِشْهارٌ,NOUN-MS,إشهار,1.0,0.01,5,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
اليبر,nonword,,,,,,,,,5,,,,,,
ولحي,nonword,,,,,,,,,4,,,,,,
بكمة,nonword,,,,,,,,,4,,,,,,
الرولها,nonword,,,,,,,,,7,,,,,,
مسلحة,word,5.18,0.8,3.72,مُسَلَّحَةٌ,ADJ-MP + NSUFF,مسلح,10.0,0.09,5,0.0,10.0,0.0,0.0,1.0,other_7k_frequent
أعطوني,word,10.48,1.06,4.03,أَعْطوني,NOUN-MS,أعطى,160.0,1.31,6,0.0,7.0,0.0,1.0,1.0,other_7k_frequent
