item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
تكسوطة,nonword,,,,,,,,,6,,,,,,
أعمارية,nonword,,,,,,,,,7,,,,,,
محرم,word,2.2,0.51,3.35,مُحَرَّمٌ,ADJ-MS,محرم,7.0,0.06,4,1.0,12.0,1.0,4.0,1.06,other_7k_frequent
رحيم,word,3.5,0.66,3.55,رَحيمٌ,NOUN-MS,رحيم,4.0,0.04,4,0.0,3.0,1.0,2.0,1.13,other_7k_frequent
جلودهم,word,0.41,0.15,2.62,جُلودَهُمْ,NOUN-MS + PRON,جلود,3.0,0.03,6,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
الشفرط,nonword,,,,,,,,,6,,,,,,
يقتضي,word,1.19,0.35,3.08,يَقْتَضي,V,اقتضى,4.0,0.04,5,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
لعبدوح,nonword,,,,,,,,,6,,,,,,
طريمان,nonword,,,,,,,,,6,,,,,,
الثقافي,word,2.43,0.54,3.39,الثَّقافيُّ,DET + ADJ-FS,ثقافي,5.0,0.05,7,1.0,1.0,0.0,1.0,1.0,most_5k_frequent
تورف,nonword,,,,,,,,,4,,,,,,
مجادت,nonword,,,,,,,,,5,,,,,,
ضللاف,nonword,,,,,,,,,5,,,,,,
النتقان,nonword,,,,,,,,,7,,,,,,
وزعاقب,nonword,,,,,,,,,6,,,,,,
مدايازة,nonword,,,,,,,,,7,,,,,,
انتحاريا,word,0.54,0.19,2.74,انْتِحاريًّا,ADJ-MS + CASE,انتحاري,5.0,0.05,8,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
الدوائر,word,4.93,0.78,3.7,الدَّوائِرُ,DET + NOUN-FP,دائرة,9.0,0.08,7,1.0,0.0,0.0,0.0,1.0,most_5k_frequent
هزيل,word,1.12,0.33,3.05,هَزيلْ,NOUN-MS,هزيل,4.0,0.04,4,0.0,10.0,2.0,3.0,1.11,other_7k_frequent
يترحارة,nonword,,,,,,,,,7,,,,,,
