item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
هارهم,nonword,,,,,,,,,5,,,,,,
كاملة,word,72.74,1.87,4.87,كامِلَةُ,ADJ-FP + NSUFF,كامل,14.0,0.12,5,0.0,7.0,0.0,1.0,1.0,other_7k_frequent
منظف,word,3.07,0.61,3.49,مُنَظِّفٌ,NOUN-MS,منظف,5.0,0.05,4,0.0,10.0,0.0,1.0,1.0,other_7k_frequent
جماريعين,nonword,,,,,,,,,8,,,,,,
سخيفا,word,21.14,1.35,4.33,سَخيفًا,ADJ-MS + CASE,سخيف,9.0,0.08,5,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
خططنا,word,8.29,0.97,3.92,خُطَطَنا,NOUN-FP + PRON,خطة,31.0,0.26,5,1.0,6.0,0.0,0.0,1.0,other_7k_frequent
رحلات,word,9.09,1.01,3.96,رِحْلاتُ,NOUN-FP + NSUFF,رحلة,25.0,0.21,5,0.0,2.0,0.0,4.0,1.0,other_7k_frequent
حضع,nonword,,,,,,,,,3,,,,,,
تطفق,nonword,,,,,,,,,4,,,,,,
احتابته,nonword,,,,,,,,,7,,,,,,
يحتجزون,word,1.36,0.38,3.14,يُحْتَجَزونَ,V + PRON,احتجز,12.0,0.1,7,0.0,1.0,0.0,1.0,1.0,other_7k_frequent
التقافذ,nonword,,,,,,,,,7,,,,,,
ذهبنا,word,41.11,1.63,4.62,ذَهَبْنا,V + PRON,ذهب,68.0,0.56,5,0.0,4.0,0.0,3.0,1.0,other_7k_frequent
القابضة,word,1.48,0.4,3.18,القابِضَةُ,DET + ADJ-FS + NSUFF,قابض,4.0,0.04,7,1.0,2.0,0.0,0.0,1.0,most_5k_frequent
المقائمين,nonword,,,,,,,,,9,,,,,,
الخريث,nonword,,,,,,,,,6,,,,,,
المحشيد,nonword,,,,,,,,,7,,,,,,
اكتشاف,word,24.5,1.41,4.39,اكْتِشافُ,NOUN-MS,اكتشاف,13.0,0.11,6,1.0,0.0,1.0,7.0,1.11,most_5k_frequent
يتواتين,nonword,,,,,,,,,7,,,,,,
الصحافي,word,1.91,0.47,3.29,الصِّحافيُّ,DET + NOUN-MS,صحافي,7.0,0.06,7,1.0,2.0,0.0,1.0,1.0,most_5k_frequent
تساؤل,word,1.27,0.36,3.11,تَساؤُلٌ,NOUN-MS,تساؤل,6.0,0.05,5,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
حزب,word,17.69,1.28,4.25,حِزْبُ,NOUN-MS,حزب,15.0,0.13,3,0.0,8.0,0.0,5.0,1.0,other_7k_frequent
فتكرات,nonword,,,,,,,,,6,,,,,,
الغواصة,word,6.18,0.86,3.8,الغَوّاصَةُ,DET + NOUN-FS + NSUFF,غواص,8.0,0.07,7,1.0,0.0,0.0,0.0,1.0,other_7k_frequent
السؤال,word,107.11,2.04,5.03,السُّؤالُ,DET + NOUN-MS,سؤال,33.0,0.27,6,1.0,3.0,0.0,3.0,1.0,most_5k_frequent
إنهائها,word,1.07,0.32,3.03,إِنْهائِها,NOUN-MS + PRON,إنهاء,13.0,0.11,7,1.0,2.0,0.0,1.0,1.0,other_7k_frequent
حكيم,word,13.84,1.18,4.15,حَكيمٌ,NOUN-MS,حكيم,7.0,0.06,4,0.0,4.0,1.0,3.0,1.1,other_7k_frequent
استوارا,nonword,,,,,,,,,7,,,,,,
المسرحية,word,15.81,1.23,4.2,المَسْرَحيَّةُ,DET + NOUN-FS + NSUFF,مسرحية,10.0,0.09,8,0.0,2.0,0.0,0.0,1.0,most_5k_frequent
وتمعة,nonword,,,,,,,,,5,,,,,,
عودة,word,28.67,1.48,4.46,عَوْدَةُ,NOUN-FS + NSUFF,عودة,25.0,0.21,4,0.0,13.0,2.0,3.0,1.1,other_7k_frequent
ذهابهم,word,0.57,0.2,2.76,ذَهابِهِمْ,NOUN-MS + PRON,ذهاب,18.0,0.15,6,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
استلقى,word,4.13,0.72,3.62,اسْتَلْقَى,NOUN-MS,استلقى,3.0,0.03,6,0.0,1.0,0.0,0.0,1.0,most_5k_frequent
يقدمان,word,0.59,0.21,2.78,يُقَدِّمانِ,NOUN-MS,قدم,89.0,0.73,6,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
والكرا,nonword,,,,,,,,,6,,,,,,
مناسبا,word,34.25,1.55,4.54,مُناسِبًا,NOUN-MS + CASE,مناسب,11.0,0.09,6,1.0,3.0,0.0,2.0,1.0,other_7k_frequent
زعمية,nonword,,,,,,,,,5,,,,,,
عتيقة,word,2.53,0.55,3.41,عَتيقَةٍ,ADJ-FS + NSUFF,عتيق,4.0,0.04,5,0.0,3.0,0.0,0.0,1.0,other_7k_frequent
تمرداي,nonword,,,,,,,,,6,,,,,,
تبلاعدي,nonword,,,,,,,,,7,,,,,,
راضحه,nonword,,,,,,,,,5,,,,,,
السيدة,word,223.33,2.36,5.35,السَّيِّدَةُ,DET + NOUN-FS + NSUFF,سيد,46.0,0.38,6,0.0,5.0,0.0,4.0,1.0,most_5k_frequent
مدايازل,nonword,,,,,,,,,7,,,,,,
تمليم,nonword,,,,,,,,,5,,,,,,
يتهم,word,2.26,0.52,3.36,يَتَّهِمُ,V,اتهم,22.0,0.18,4,0.0,11.0,1.0,7.0,1.0,other_7k_frequent
وباطي,nonword,,,,,,,,,5,,,,,,
يظلف,nonword,,,,,,,,,4,,,,,,
تعاهم,nonword,,,,,,,,,5,,,,,,
المستعملة,word,3.36,0.64,3.53,المُسْتَعْمَلَةُ,DET + ADJ-MP + NSUFF,مستعمل,5.0,0.05,9,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
أنعجه,nonword,,,,,,,,,5,,,,,,
قناسبها,nonword,,,,,,,,,7,,,,,,
بأدمي,nonword,,,,,,,,,5,,,,,,
يفوق,word,11.29,1.09,4.06,يَفوقُ,V,فاق,6.0,0.05,4,0.0,13.0,0.0,1.0,1.0,other_7k_frequent
التلفزة,word,0.47,0.17,2.68,التَّلْفَزَةَ,DET + NOUN-FS + NSUFF,تلفزة,1.0,0.01,7,1.0,0.0,0.0,0.0,0.0,other_7k_frequent
ذمة,word,0.66,0.23,2.82,ذِمَّةُ,NOUN-FS + NSUFF,ذمة,2.0,0.02,3,0.0,6.0,0.0,1.0,1.0,other_7k_frequent
استطيني,nonword,,,,,,,,,7,,,,,,
صفلى,nonword,,,,,,,,,4,,,,,,
الصفراء,word,7.32,0.93,3.87,الصَّفْراءُ,DET + ADJ-MS,أصفر,5.0,0.05,7,1.0,2.0,0.0,0.0,1.0,most_5k_frequent
المطارات,word,2.03,0.49,3.31,المَطاراتِ,DET + NOUN-FP + NSUFF,مطار,6.0,0.05,8,1.0,5.0,0.0,0.0,1.0,other_7k_frequent
ضمان,word,10.19,1.05,4.01,ضَمانُ,NOUN-MS,ضمان,7.0,0.06,4,0.0,5.0,2.0,6.0,1.13,other_7k_frequent
سخط,word,0.51,0.18,2.71,سَخَطٌ,NOUN-MS,سخط,2.0,0.02,3,0.0,11.0,0.0,1.0,1.0,other_7k_frequent
يفتشون,word,1.7,0.44,3.24,يُفَتِّشونَ,V + PRON,فتش,11.0,0.09,6,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
إتلاف,word,1.17,0.34,3.07,إِتْلافُ,NOUN-MS,إتلاف,1.0,0.01,5,0.0,0.0,0.0,0.0,0.0,other_7k_frequent
راقف,nonword,,,,,,,,,4,,,,,,
المدونات,word,0.97,0.3,2.99,المُدَوَّناتُ,DET + NOUN-FP + NSUFF,مدونة,8.0,0.07,8,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
الأساتنا,nonword,,,,,,,,,8,,,,,,
النافذة,word,52.68,1.73,4.73,النّافِذَةُ,DET + NOUN-FS + NSUFF,نافذة,13.0,0.11,7,1.0,2.0,0.0,2.0,1.0,most_5k_frequent
سعنت,nonword,,,,,,,,,4,,,,,,
مدسون,nonword,,,,,,,,,5,,,,,,
فرصها,word,0.43,0.16,2.64,فُرَصُها,NOUN-FP + PRON,فرصة,26.0,0.22,5,0.0,5.0,0.0,1.0,1.0,other_7k_frequent
أكتشف,word,12.35,1.13,4.1,أَكْتَشِفِ,NOUN-MS,اكتشف,44.0,0.36,5,0.0,6.0,0.0,4.0,1.0,other_7k_frequent
صادم,word,3.88,0.69,3.59,صادِمَ,NOUN-MS,صادم,5.0,0.05,4,0.0,8.0,2.0,3.0,1.13,other_7k_frequent
انتابريج,nonword,,,,,,,,,8,,,,,,
القولول,nonword,,,,,,,,,7,,,,,,
انقواء,nonword,,,,,,,,,6,,,,,,
القادين,nonword,,,,,,,,,7,,,,,,
الشفرات,word,2.74,0.58,3.44,الشَّفَراتِ,DET + NOUN-FP + NSUFF,شفرة,7.0,0.06,7,1.0,2.0,0.0,1.0,1.0,most_5k_frequent
ترط,nonword,,,,,,,,,3,,,,,,
المحددة,word,4.52,0.75,3.66,المُحَدَّدَةُ,DET + ADJ-FS + NSUFF,محدد,7.0,0.06,7,1.0,2.0,0.0,1.0,1.0,most_5k_frequent
الحواجز,word,5.5,0.82,3.75,الحَواجِزُ,DET + NOUN-FP,حاجز,5.0,0.05,7,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
يحصارج,nonword,,,,,,,,,6,,,,,,
المنشودة,word,3.51,0.66,3.55,المَنْشودَةُ,DET + ADJ-FP + NSUFF,منشود,2.0,0.02,8,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
جحس,nonword,,,,,,,,,3,,,,,,
الضاحية,word,0.77,0.25,2.89,الضّاحيَةُ,DET + NOUN-FS + NSUFF,ضاحية,4.0,0.04,7,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
شاسوس,nonword,,,,,,,,,5,,,,,,
اعجبتني,word,0.87,0.28,2.94,اعجبتني,NOUN-MS,عجب,13.0,0.11,7,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
تدويتها,nonword,,,,,,,,,7,,,,,,
انثف,nonword,,,,,,,,,4,,,,,,
تقفهم,nonword,,,,,,,,,5,,,,,,
وتاة,nonword,,,,,,,,,4,,,,,,
تؤكد,word,6.73,0.89,3.83,تُؤَكِّدُ,V,أكد,14.0,0.12,4,0.0,7.0,0.0,0.0,1.0,most_5k_frequent
