item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
تظاهروا,word,0.94,0.29,2.98,تَظاهَروا,V + PRON,تظاهر,22.0,0.18,7,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
نياضها,nonword,,,,,,,,,6,,,,,,
المعافقة,nonword,,,,,,,,,8,,,,,,
السمسم,word,0.82,0.27,2.92,السِّمْسِمُ,DET + NOUN-MP,سمسم,2.0,0.02,6,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
دوسك,nonword,,,,,,,,,4,,,,,,
الناخبين,word,3.61,0.67,3.56,النّاخِبينَ,DET + NOUN-MP + NSUFF,ناخب,3.0,0.03,8,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
تافرا,nonword,,,,,,,,,5,,,,,,
نحافظ,word,6.3,0.87,3.8,نُحافِظَ,V,حافظ,30.0,0.25,5,0.0,7.0,0.0,3.0,1.0,other_7k_frequent
تحذية,nonword,,,,,,,,,5,,,,,,
الحكومات,word,2.6,0.56,3.42,الحُكوماتُ,DET + NOUN-FP + NSUFF,حكومة,13.0,0.11,8,1.0,0.0,0.0,0.0,0.0,most_5k_frequent
الجابلة,nonword,,,,,,,,,7,,,,,,
طريقون,nonword,,,,,,,,,6,,,,,,
أدنة,nonword,,,,,,,,,4,,,,,,
أرادت,word,44.23,1.66,4.65,أَرادَتْ,V + PRON,أراد,121.0,0.99,5,0.0,6.0,0.0,3.0,1.0,other_7k_frequent
شفرب,nonword,,,,,,,,,4,,,,,,
محادثة,word,25.39,1.43,4.41,مُحادَثَةُ,NOUN-FS + NSUFF,محادثة,13.0,0.11,6,0.0,4.0,0.0,2.0,1.0,other_7k_frequent
صفصن,nonword,,,,,,,,,4,,,,,,
جاذبية,word,7.65,0.94,3.89,جاذِبيَّةٌ,NOUN-FS + NSUFF,جاذبية,10.0,0.09,6,0.0,1.0,0.0,1.0,1.0,other_7k_frequent
وثت,nonword,,,,,,,,,3,,,,,,
ومضح,nonword,,,,,,,,,4,,,,,,
لنصي,nonword,,,,,,,,,4,,,,,,
صدونهم,nonword,,,,,,,,,6,,,,,,
