item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
المعروف,word,17.85,1.28,4.26,المَعْروفُ,DET + ADJ-MS,معروف,13.0,0.11,7,0.0,4.0,0.0,2.0,1.0,most_5k_frequent
عرهى,nonword,,,,,,,,,4,,,,,,
ربيع,word,4.57,0.75,3.66,رَبيعُ,NOUN-MS,ربيع,3.0,0.03,4,0.0,12.0,1.0,3.0,1.05,other_7k_frequent
ساقية,word,0.89,0.28,2.95,ساقيَةِ,NOUN-MS,ساقي,13.0,0.11,5,0.0,12.0,0.0,1.0,1.0,other_7k_frequent
مركزي,word,2.69,0.57,3.43,مَرْكَزيٌّ,ADJ-MS,مركزي,4.0,0.04,5,0.0,7.0,0.0,2.0,1.0,other_7k_frequent
ملاحظ,word,0.56,0.2,2.75,مُلاحَظُ,NOUN-FP,ملاحظ,1.0,0.01,5,0.0,6.0,0.0,1.0,1.0,other_7k_frequent
وصحين,nonword,,,,,,,,,5,,,,,,
يطت,nonword,,,,,,,,,3,,,,,,
سيناد,nonword,,,,,,,,,5,,,,,,
كفد,nonword,,,,,,,,,3,,,,,,
لتكاتب,nonword,,,,,,,,,6,,,,,,
فشلنا,word,4.96,0.78,3.7,فَشِلْنا,V + PRON,فشل,25.0,0.21,5,0.0,5.0,0.0,0.0,1.0,other_7k_frequent
يتفاعلون,word,0.47,0.17,2.68,يَتَفاعَلونَ,V,تفاعل,9.0,0.08,8,0.0,0.0,0.0,0.0,0.0,other_7k_frequent
صفقل,nonword,,,,,,,,,4,,,,,,
بطبر,nonword,,,,,,,,,4,,,,,,
التصويت,word,20.68,1.34,4.32,التَّصْويتُ,DET + NOUN-MS,تصويت,8.0,0.07,7,1.0,3.0,0.0,1.0,1.0,most_5k_frequent
الطيار,word,12.36,1.13,4.1,الطَّيّارُ,DET + NOUN-MS,طيار,10.0,0.09,6,1.0,8.0,0.0,1.0,1.0,most_5k_frequent
قعدى,nonword,,,,,,,,,4,,,,,,
تأخيل,nonword,,,,,,,,,5,,,,,,
التحللة,nonword,,,,,,,,,7,,,,,,
السابقتين,word,0.7,0.24,2.85,السّابِقَتَيْنِ,DET + NOUN-MS,سابق,20.0,0.17,9,1.0,0.0,0.0,0.0,1.0,other_7k_frequent
دليلة,word,1.74,0.44,3.25,دُلَيْلَةَ,NOUN-MS,دليلة,1.0,0.01,5,1.0,11.0,0.0,0.0,1.0,other_7k_frequent
بلوية,nonword,,,,,,,,,5,,,,,,
انشغلت,word,2.54,0.55,3.41,انْشَغَلَتْ,V + PRON,انشغل,5.0,0.05,6,0.0,0.0,0.0,0.0,1.0,other_7k_frequent
الأبواق,word,1.25,0.36,3.1,الأَبْواقِ,DET + NOUN-FP,بوق,4.0,0.04,7,1.0,5.0,0.0,0.0,1.0,other_7k_frequent
ثمرون,nonword,,,,,,,,,5,,,,,,
أهدافه,word,1.08,0.32,3.04,أَهْدافِهِ,NOUN-FP + PRON,هدف,31.0,0.26,6,1.0,3.0,0.0,2.0,1.0,other_7k_frequent
نقع,word,2.96,0.6,3.48,نَقَعُ,V,نقع,1.0,0.01,3,0.0,23.0,0.0,5.0,1.0,other_7k_frequent
الإرهار,nonword,,,,,,,,,7,,,,,,
ضاسف,nonword,,,,,,,,,4,,,,,,
ثرف,nonword,,,,,,,,,3,,,,,,
سلباسة,nonword,,,,,,,,,6,,,,,,
المرح,word,33.15,1.54,4.53,المَرَحِ,DET + NOUN-MS,مرح,19.0,0.16,5,0.0,17.0,1.0,9.0,1.0,most_5k_frequent
يدخلام,nonword,,,,,,,,,6,,,,,,
واقائق,nonword,,,,,,,,,6,,,,,,
أزماء,nonword,,,,,,,,,5,,,,,,
يكومين,nonword,,,,,,,,,6,,,,,,
لحماركات,nonword,,,,,,,,,8,,,,,,
اضطهاد,word,0.81,0.26,2.91,اضْطِهادَ,NOUN-MS,اضطهاد,2.0,0.02,6,1.0,0.0,0.0,0.0,0.0,most_5k_frequent
المناوبة,word,5.5,0.82,3.75,المَناوَبَةُ,DET + NOUN-FS + NSUFF,مناوب,9.0,0.08,8,1.0,3.0,0.0,0.0,1.0,other_7k_frequent
حسابك,word,9.84,1.04,4.0,حِسابُكَ,NOUN-MS + PRON,حساب,31.0,0.26,5,0.0,4.0,1.0,1.0,1.13,other_7k_frequent
الأممين,nonword,,,,,,,,,7,,,,,,
ملتق,nonword,,,,,,,,,4,,,,,,
ضغيد,nonword,,,,,,,,,4,,,,,,
اسمل,nonword,,,,,,,,,4,,,,,,
ومكونافة,nonword,,,,,,,,,8,,,,,,
نثبق,nonword,,,,,,,,,4,,,,,,
يقطلة,nonword,,,,,,,,,5,,,,,,
مخترع,word,2.08,0.49,3.32,مُخْتَرِعُ,NOUN-MS,مخترع,2.0,0.02,5,0.0,6.0,0.0,0.0,1.0,other_7k_frequent
العنصر,word,4.15,0.72,3.62,العُنْصُرُ,DET + NOUN-MS,عنصر,6.0,0.05,6,0.0,2.0,0.0,2.0,1.0,most_5k_frequent
الترجاز,nonword,,,,,,,,,7,,,,,,
إقناعهم,word,2.27,0.52,3.36,إِقْناعِهِمْ,NOUN-MS + PRON,إقناع,16.0,0.14,7,0.0,1.0,0.0,1.0,1.0,other_7k_frequent
خدي,word,1.91,0.47,3.29,خَدّي,NOUN-MS + PRON,خد,10.0,0.09,3,0.0,27.0,0.0,3.0,1.0,other_7k_frequent
استبدال,word,6.72,0.89,3.83,اسْتِبْدالُ,NOUN-MS,استبدال,9.0,0.08,7,1.0,0.0,0.0,5.0,1.0,most_5k_frequent
ونساتها,nonword,,,,,,,,,7,,,,,,
ينظر,word,40.04,1.62,4.61,يَنْظُرُ,V,نظر,66.0,0.54,4,0.0,17.0,0.0,5.0,1.0,other_7k_frequent
اشترق,nonword,,,,,,,,,5,,,,,,
سيئة,word,191.92,2.29,5.29,سَيِّئَةٌ,ADJ-FS + NSUFF,سيئ,14.0,0.12,4,0.0,8.0,0.0,2.0,1.0,other_7k_frequent
دعاء,word,1.16,0.34,3.07,دُعاءُ,NOUN-MS,دعاء,3.0,0.03,4,0.0,8.0,1.0,1.0,1.08,other_7k_frequent
المنتسقاء,nonword,,,,,,,,,9,,,,,,
نبأ,word,3.85,0.69,3.59,نَبَأُ,NOUN-MS,نبأ,4.0,0.04,3,0.0,13.0,0.0,2.0,1.0,other_7k_frequent
كافة,word,13.88,1.18,4.15,كافَّةُ,NOUN-FS + NSUFF,كافة,3.0,0.03,4,0.0,10.0,0.0,6.0,1.0,other_7k_frequent
يلعمات,nonword,,,,,,,,,6,,,,,,
دعابة,word,10.9,1.08,4.04,دُعابَةٌ,NOUN-FS + NSUFF,دعابة,4.0,0.04,5,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
المرن,word,0.68,0.23,2.84,المَرِنِ,DET + ADJ-MS,مرن,4.0,0.04,5,0.0,14.0,0.0,2.0,1.0,other_7k_frequent
المحسيم,nonword,,,,,,,,,7,,,,,,
حقوام,nonword,,,,,,,,,5,,,,,,
تدركه,word,0.6,0.21,2.78,تُدْرِكُهُ,V + PRON,أدرك,29.0,0.24,5,0.0,6.0,0.0,0.0,1.0,other_7k_frequent
قوي,word,67.78,1.84,4.84,قَويٌّ,ADJ-MS,قوي,20.0,0.17,3,0.0,29.0,0.0,14.0,1.0,other_7k_frequent
تعيد,word,15.71,1.23,4.2,تُعيدُ,V,أعاد,77.0,0.63,4,0.0,31.0,1.0,10.0,1.0,most_5k_frequent
العناصر,word,8.0,0.96,3.91,العَناصِرُ,DET + NOUN-FP,عنصر,6.0,0.05,7,1.0,0.0,0.0,0.0,1.0,most_5k_frequent
خلانتقات,nonword,,,,,,,,,8,,,,,,
نظيفة,word,23.68,1.4,4.38,نَظيفَةٌ,ADJ-FS + NSUFF,نظيف,9.0,0.08,5,0.0,5.0,0.0,1.0,1.0,other_7k_frequent
المناهج,word,0.41,0.15,2.62,المَناهِجُ,DET + NOUN-FP,منهج,3.0,0.03,7,1.0,1.0,1.0,0.0,1.33,most_5k_frequent
ميتوى,nonword,,,,,,,,,5,,,,,,
مستمت,nonword,,,,,,,,,5,,,,,,
صبادين,nonword,,,,,,,,,6,,,,,,
لجنة,word,27.86,1.47,4.45,لَجْنَةُ,NOUN-FS + NSUFF,لجنة,7.0,0.06,4,0.0,10.0,0.0,4.0,1.0,other_7k_frequent
متفرقة,word,1.46,0.4,3.17,مُتَفَرِّقَةٌ,ADJ-MP + NSUFF,متفرق,2.0,0.02,6,0.0,3.0,0.0,0.0,1.0,other_7k_frequent
المهرب,word,1.32,0.37,3.13,المَهْرَبُ,DET + NOUN-MS,مهرب,9.0,0.08,6,0.0,13.0,0.0,1.0,1.0,other_7k_frequent
