item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
انتشار,word,7.46,0.93,3.88,انْتِشارُ,NOUN-MS,انتشار,5.0,0.05,6,1.0,4.0,0.0,2.0,1.0,most_5k_frequent
أشكركم,word,15.9,1.23,4.21,أَشْكُرُكُمْ,V + PRON,شكر,46.0,0.38,6,1.0,2.0,0.0,2.0,1.0,other_7k_frequent
خلوفاد,nonword,,,,,,,,,6,,,,,,
مضمار,word,3.86,0.69,3.59,مِضْمارَ,NOUN-MS,مضمار,2.0,0.02,5,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
تيقول,nonword,,,,,,,,,5,,,,,,
التشاؤم,word,0.45,0.17,2.66,التَّشاؤُمِ,DET + NOUN-MS,تشاؤم,1.0,0.01,7,1.0,0.0,0.0,0.0,0.0,other_7k_frequent
متعود,word,0.97,0.3,2.99,مُتَعوِّدٌ,NOUN-MS,متعود,1.0,0.01,5,0.0,9.0,0.0,0.0,1.0,other_7k_frequent
يتمشى,word,0.87,0.28,2.94,يَتَمَشَّى,V,تمشى,5.0,0.05,5,0.0,4.0,0.0,1.0,1.0,other_7k_frequent
جائزة,word,29.16,1.48,4.47,جائِزَةُ,NOUN-FS + NSUFF,جائزة,16.0,0.14,5,0.0,6.0,0.0,4.0,1.0,other_7k_frequent
أجاحتك,nonword,,,,,,,,,6,,,,,,
واقيق,nonword,,,,,,,,,5,,,,,,
حاذق,word,0.61,0.21,2.79,حاذِقٌ,NOUN-MS,حاذق,1.0,0.01,4,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
هامخا,nonword,,,,,,,,,5,,,,,,
صيد,word,24.66,1.41,4.4,صَيْدٌ,NOUN-MS,صيد,12.0,0.1,3,0.0,24.0,1.0,12.0,1.0,other_7k_frequent
نجس,word,0.5,0.18,2.7,نَجِسٌ,NOUN-MS,نجس,1.0,0.01,3,0.0,17.0,2.0,2.0,1.0,other_7k_frequent
وقوار,nonword,,,,,,,,,5,,,,,,
حد,word,109.42,2.05,5.04,حَدُّ,NOUN-MS,حد,29.0,0.24,2,0.0,38.0,0.0,27.0,1.0,other_7k_frequent
قدما,word,71.88,1.87,4.86,قُدُما,NOUN-MS + CASE,قدم,89.0,0.73,4,0.0,16.0,1.0,13.0,1.0,other_7k_frequent
عقدي,word,2.31,0.52,3.37,عَقْدي,NOUN-FS + NSUFF,عقد,34.0,0.28,4,0.0,13.0,1.0,2.0,1.06,other_7k_frequent
الرواتب,word,3.35,0.64,3.53,الرَّواتِبُ,DET + NOUN-FP,راتب,13.0,0.11,7,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
طرف,word,21.23,1.35,4.33,طَرَفٌ,NOUN-MS,طرف,24.0,0.2,3,0.0,20.0,0.0,10.0,1.0,other_7k_frequent
تتدرب,word,5.04,0.79,3.71,تَتَدَرَّبُ,V,تدرب,18.0,0.15,5,1.0,8.0,1.0,1.0,1.09,other_7k_frequent
مغادرة,word,34.13,1.55,4.54,مُغادَرَةُ,NOUN-FS + NSUFF,مغادرة,13.0,0.11,6,0.0,5.0,0.0,3.0,1.0,other_7k_frequent
إفرته,nonword,,,,,,,,,5,,,,,,
صفم,nonword,,,,,,,,,3,,,,,,
يخوضاف,nonword,,,,,,,,,6,,,,,,
خياضلة,nonword,,,,,,,,,6,,,,,,
الخلني,nonword,,,,,,,,,6,,,,,,
رفيلة,nonword,,,,,,,,,5,,,,,,
مبعيه,nonword,,,,,,,,,5,,,,,,
مشترفاء,nonword,,,,,,,,,7,,,,,,
فعلقون,nonword,,,,,,,,,6,,,,,,
معالي,word,1.17,0.34,3.07,مَعالي,NOUN-MS,معلاة,2.0,0.02,5,0.0,11.0,2.0,2.0,1.12,other_7k_frequent
الربائز,nonword,,,,,,,,,7,,,,,,
مظهه,nonword,,,,,,,,,4,,,,,,
الدجاجب,nonword,,,,,,,,,7,,,,,,
نهانة,nonword,,,,,,,,,5,,,,,,
شس,nonword,,,,,,,,,2,,,,,,
انحمه,nonword,,,,,,,,,5,,,,,,
سطوة,word,0.75,0.25,2.88,سَطْوَةٌ,NOUN-FS + NSUFF,سطوة,1.0,0.01,4,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
هتجع,nonword,,,,,,,,,4,,,,,,
فزاجم,nonword,,,,,,,,,5,,,,,,
تابقترك,nonword,,,,,,,,,7,,,,,,
الحب,word,228.56,2.37,5.36,الحُبُّ,DET + NOUN-MS,حب,51.0,0.42,4,0.0,21.0,0.0,15.0,1.0,most_5k_frequent
حتح,nonword,,,,,,,,,3,,,,,,
السماوي,word,2.8,0.58,3.45,السَّماويِّ,DET + ADJ-MS,سماوي,4.0,0.04,7,1.0,0.0,0.0,1.0,1.0,other_7k_frequent
يربي,word,1.46,0.4,3.17,يُرَبّيَ,NOUN-MS,ربى,8.0,0.07,4,1.0,25.0,1.0,4.0,1.0,other_7k_frequent
الدببة,word,9.05,1.01,3.96,الدَّبْبَةُ,DET + NOUN-FP + NSUFF,دبب,4.0,0.04,6,1.0,1.0,0.0,3.0,1.0,other_7k_frequent
صحراء,word,4.53,0.75,3.66,صَحْراءُ,NOUN-MS,صحراء,2.0,0.02,5,0.0,1.0,1.0,0.0,1.5,other_7k_frequent
نظلبت,nonword,,,,,,,,,5,,,,,,
البدلاء,word,2.09,0.49,3.33,البُدَلاءِ,DET + NOUN-MP,بديل,11.0,0.09,7,1.0,2.0,0.0,0.0,1.0,other_7k_frequent
دفح,nonword,,,,,,,,,3,,,,,,
متنائسة,nonword,,,,,,,,,7,,,,,,
يلتحريب,nonword,,,,,,,,,7,,,,,,
يسرني,word,42.44,1.64,4.63,يَسُرُّني,NOUN-MS,سر,32.0,0.27,5,1.0,4.0,0.0,2.0,1.0,other_7k_frequent
ترشيع,nonword,,,,,,,,,5,,,,,,
تواي,nonword,,,,,,,,,4,,,,,,
الكرب,word,0.84,0.27,2.93,الكَرْبُ,DET + NOUN-MS,كرب,2.0,0.02,5,0.0,20.0,2.0,2.0,1.0,other_7k_frequent
شارعا,word,0.55,0.2,2.75,شارِعًا,NOUN-MS + CASE,شارع,19.0,0.16,5,1.0,6.0,1.0,1.0,1.1,other_7k_frequent
دجد,nonword,,,,,,,,,3,,,,,,
القوام,word,1.93,0.47,3.29,القِوامُ,DET + NOUN-MS,قوام,5.0,0.05,6,1.0,6.0,0.0,2.0,1.0,other_7k_frequent
رؤيته,word,52.89,1.74,4.73,رُؤْيَتُهُ,NOUN-FS + NSUFF + PRON,رؤية,35.0,0.29,5,0.0,7.0,0.0,5.0,1.0,other_7k_frequent
مريحة,word,13.92,1.18,4.15,مُريحَةٍ,ADJ-MP + NSUFF,مريح,7.0,0.06,5,0.0,13.0,0.0,1.0,1.0,other_7k_frequent
يواصل,word,5.49,0.82,3.74,يواصِلُ,V,واصل,28.0,0.23,5,0.0,6.0,0.0,2.0,1.0,other_7k_frequent
الوجهة,word,3.52,0.66,3.55,الوُجْهَةَ,DET + NOUN-FS + NSUFF,وجهة,8.0,0.07,6,0.0,1.0,0.0,2.0,1.0,other_7k_frequent
واملية,nonword,,,,,,,,,6,,,,,,
مدخنة,word,1.72,0.44,3.24,مُدَخِّنَةٌ,NOUN-FS + NSUFF,مدخن,6.0,0.05,5,0.0,5.0,0.0,0.0,1.0,other_7k_frequent
بمعيف,nonword,,,,,,,,,5,,,,,,
رعي,word,0.68,0.23,2.84,رَعْي,V,رعي,2.0,0.02,3,0.0,18.0,1.0,9.0,1.0,other_7k_frequent
دموضع,nonword,,,,,,,,,5,,,,,,
مقدر,word,8.13,0.97,3.92,مُقَدَّرٌ,NOUN-MS,مقدر,9.0,0.08,4,0.0,13.0,0.0,3.0,1.0,other_7k_frequent
الركاب,word,11.04,1.09,4.05,الرُّكّابُ,DET + NOUN-MP,راكب,11.0,0.09,6,1.0,3.0,1.0,0.0,1.17,most_5k_frequent
صحح,word,1.28,0.36,3.11,صَحَّحَ,V,صحح,5.0,0.05,3,1.0,10.0,0.0,8.0,1.0,other_7k_frequent
تطهلا,nonword,,,,,,,,,5,,,,,,
يصيبه,word,1.6,0.42,3.21,يُصيبُهُ,V + PRON,أصاب,57.0,0.47,5,1.0,3.0,0.0,2.0,1.0,other_7k_frequent
مطوين,nonword,,,,,,,,,5,,,,,,
صخش,nonword,,,,,,,,,3,,,,,,
تكتشف,word,12.34,1.13,4.1,تَكْتَشِفُ,V,اكتشف,44.0,0.36,5,1.0,5.0,1.0,5.0,1.08,other_7k_frequent
نرحت,nonword,,,,,,,,,4,,,,,,
مكامه,nonword,,,,,,,,,5,,,,,,
عيار,word,10.21,1.05,4.01,عيارٌ,NOUN-MS,عيار,5.0,0.05,4,0.0,10.0,0.0,2.0,1.0,other_7k_frequent
صفقع,nonword,,,,,,,,,4,,,,,,
كدوى,nonword,,,,,,,,,4,,,,,,
وتاك,nonword,,,,,,,,,4,,,,,,
الزواجب,nonword,,,,,,,,,7,,,,,,
باضه,nonword,,,,,,,,,4,,,,,,
يجتمع,word,6.81,0.9,3.84,يَجْتَمِعُ,V,اجتمع,17.0,0.14,5,0.0,6.0,1.0,2.0,1.1,other_7k_frequent
مدني,word,6.14,0.86,3.79,مَدَنيٌّ,NOUN-MS,مدني,10.0,0.09,4,0.0,11.0,1.0,6.0,1.0,other_7k_frequent
النخاعي,word,0.43,0.16,2.64,النُّخاعيِّ,DET + NOUN-MS,نخاعي,1.0,0.01,7,1.0,0.0,0.0,0.0,1.0,other_7k_frequent
كياني,word,1.05,0.32,3.03,كيانُي,NOUN-FS + NSUFF,كيان,7.0,0.06,5,1.0,5.0,0.0,0.0,1.0,other_7k_frequent
التسلية,word,4.19,0.72,3.63,التَّسْليَةُ,DET + NOUN-FS + NSUFF,تسلية,4.0,0.04,7,1.0,8.0,0.0,0.0,1.0,most_5k_frequent
سحبى,nonword,,,,,,,,,4,,,,,,
يمارس,word,17.72,1.28,4.25,يُمارِسُ,V,مارس,41.0,0.34,5,0.0,5.0,0.0,5.0,1.0,other_7k_frequent
طماطم,word,3.06,0.61,3.49,طَّماطِمُ,NOUN-FP,طماطم,4.0,0.04,5,1.0,0.0,0.0,0.0,0.0,other_7k_frequent
مفك,word,2.52,0.55,3.41,مفكْ,NOUN-MS,مفك,2.0,0.02,3,0.0,19.0,1.0,3.0,1.0,other_7k_frequent
يتوجز,nonword,,,,,,,,,5,,,,,,
شركائنا,word,1.38,0.38,3.14,شُرَكائِنا,NOUN-FS + PRON,شريك,35.0,0.29,7,1.0,0.0,0.0,0.0,0.0,other_7k_frequent
شنص,nonword,,,,,,,,,3,,,,,,
حصوري,nonword,,,,,,,,,5,,,,,,
مصائم,nonword,,,,,,,,,5,,,,,,
