item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
كنز,word,8.3,0.97,3.92,كَنْزٌ,NOUN-MS,كنز,11.0,0.09,3,0.0,13.0,0.0,6.0,1.0,other_7k_frequent
تفكر,word,117.9,2.08,5.08,تُفَكِّرُ,V,فكر,68.0,0.56,4,0.0,17.0,2.0,8.0,1.0,most_5k_frequent
نبينا,word,0.75,0.25,2.88,نَبيِّنا,NOUN-MS + PRON,نبي,5.0,0.05,5,1.0,6.0,1.0,0.0,1.1,other_7k_frequent
يوعث,nonword,,,,,,,,,4,,,,,,
بضج,nonword,,,,,,,,,3,,,,,,
أخفق,word,5.08,0.79,3.71,أَخْفَقَ,V,أخفق,5.0,0.05,4,0.0,13.0,0.0,1.0,1.0,other_7k_frequent
التجسيا,nonword,,,,,,,,,7,,,,,,
مماسية,nonword,,,,,,,,,6,,,,,,
النفسي,word,29.4,1.49,4.47,النَّفْسيُّ,DET + ADJ-MS,نفسي,5.0,0.05,6,0.0,1.0,0.0,2.0,1.0,most_5k_frequent
الإحصاء,word,0.87,0.28,2.94,الإِحْصاءُ,DET + NOUN-MS,إحصاء,4.0,0.04,7,1.0,3.0,0.0,0.0,1.0,most_5k_frequent
خسرقة,nonword,,,,,,,,,5,,,,,,
رقصت,word,3.59,0.67,3.56,رَقَصَتْ,V + PRON,رقص,31.0,0.26,4,0.0,5.0,0.0,4.0,1.0,other_7k_frequent
همسة,word,0.62,0.21,2.8,هَمْسَةٌ,NOUN-FS + NSUFF,همس,7.0,0.06,4,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
بجوا,nonword,,,,,,,,,4,,,,,,
حاسبة,word,1.27,0.36,3.11,حاسِبَةٌ,NOUN-FS + NSUFF,حاسب,7.0,0.06,5,0.0,3.0,0.0,1.0,1.0,other_7k_frequent
عقده,word,2.16,0.5,3.34,عَقْدَهُ,V + PRON,عقد,34.0,0.28,4,0.0,11.0,0.0,3.0,1.0,other_7k_frequent
الغاري,nonword,,,,,,,,,6,,,,,,
تتجمد,word,1.94,0.47,3.29,تَتَجَمَّدُ,V,تتجمد,2.0,0.02,5,1.0,7.0,0.0,1.0,1.0,other_7k_frequent
مبكرا,word,54.88,1.75,4.74,مُبَكِّرًا,ADJ-MS + CASE,مبكر,6.0,0.05,5,0.0,6.0,0.0,1.0,1.0,other_7k_frequent
يتعهد,word,0.47,0.17,2.68,يَتَعَهَّدُ,V,تعهد,8.0,0.07,5,0.0,6.0,0.0,0.0,1.0,other_7k_frequent
تسعت,nonword,,,,,,,,,4,,,,,,
ازرع,word,0.49,0.18,2.7,ازْرَعْ,NOUN-MS,ازرع,1.0,0.01,4,0.0,8.0,0.0,1.0,1.0,other_7k_frequent
بشكلاد,nonword,,,,,,,,,6,,,,,,
أخشر,nonword,,,,,,,,,4,,,,,,
يدعى,word,75.36,1.89,4.88,يُدْعَى,V,دعا,81.0,0.66,4,0.0,13.0,0.0,1.0,1.0,other_7k_frequent
يعبر,word,11.46,1.1,4.06,يُعَبِّرُ,V,عبر,25.0,0.21,4,0.0,14.0,0.0,4.0,1.0,other_7k_frequent
بصخرى,nonword,,,,,,,,,5,,,,,,
شمعب,nonword,,,,,,,,,4,,,,,,
فنرفه,nonword,,,,,,,,,5,,,,,,
رغض,nonword,,,,,,,,,3,,,,,,
أمصرع,nonword,,,,,,,,,5,,,,,,
يغطي,word,9.97,1.05,4.0,يُغَطّي,V,غطى,20.0,0.17,4,1.0,11.0,0.0,3.0,1.0,other_7k_frequent
نيتي,word,4.3,0.73,3.64,نيَّتي,NOUN-MS,نية,20.0,0.17,4,1.0,25.0,0.0,2.0,1.0,other_7k_frequent
المحدودة,word,3.34,0.64,3.53,المَحْدودَةُ,DET + ADJ-FP + NSUFF,محدود,5.0,0.05,8,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
تلتزم,word,4.74,0.76,3.68,تَلْتَزِمُ,V,التزم,15.0,0.13,5,1.0,9.0,0.0,2.0,1.0,most_5k_frequent
منصص,nonword,,,,,,,,,4,,,,,,
أقلام,word,3.05,0.61,3.49,أَقْلامٌ,NOUN-FP,قلم,10.0,0.09,5,0.0,6.0,0.0,0.0,1.0,most_5k_frequent
شعاع,word,5.63,0.83,3.76,شُعاعُ,NOUN-MS,شعاع,10.0,0.09,4,1.0,3.0,0.0,1.0,1.0,other_7k_frequent
حاهج,nonword,,,,,,,,,4,,,,,,
امرك,word,2.38,0.53,3.38,امرَّكْ,NOUN-MS,امرك,2.0,0.02,4,0.0,11.0,1.0,2.0,1.06,other_7k_frequent
أولوياتك,word,1.5,0.4,3.18,أولوياتكْ,NOUN-MS,أولوياة,1.0,0.01,8,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
وسداع,nonword,,,,,,,,,5,,,,,,
ينفف,nonword,,,,,,,,,4,,,,,,
يصف,word,3.87,0.69,3.59,يَصِفُ,V,وصف,38.0,0.31,3,0.0,20.0,1.0,11.0,1.0,other_7k_frequent
إنتام,nonword,,,,,,,,,5,,,,,,
منظمات,word,1.78,0.45,3.26,مُنَظَّماتٌ,NOUN-FP + NSUFF,منظمة,13.0,0.11,6,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
وخاتها,nonword,,,,,,,,,6,,,,,,
المثلاثة,nonword,,,,,,,,,8,,,,,,
عاريا,word,7.66,0.94,3.89,عاريًّا,ADJ-MS + CASE,عاري,15.0,0.13,5,1.0,11.0,0.0,1.0,1.0,other_7k_frequent
مسماء,nonword,,,,,,,,,5,,,,,,
مثابرة,word,0.86,0.27,2.94,مُثابَرَةِ,NOUN-FS + NSUFF,مثابرة,2.0,0.02,6,0.0,0.0,0.0,0.0,1.0,other_7k_frequent
الحاحيح,nonword,,,,,,,,,7,,,,,,
زاعدي,nonword,,,,,,,,,5,,,,,,
قيمتها,word,9.19,1.01,3.97,قيمَتُها,NOUN-FS + NSUFF + PRON,قيمة,15.0,0.13,6,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
الفعتهم,nonword,,,,,,,,,7,,,,,,
بأحى,nonword,,,,,,,,,4,,,,,,
أزويقة,nonword,,,,,,,,,6,,,,,,
رؤساء,word,6.85,0.9,3.84,رُؤَساءُ,NOUN-MP,رئيس,35.0,0.29,5,0.0,0.0,0.0,1.0,1.0,other_7k_frequent
وفاعة,nonword,,,,,,,,,5,,,,,,
التوطنع,nonword,,,,,,,,,7,,,,,,
الربيعي,word,0.58,0.2,2.77,الرَّبيعيّ,DET + ADJ-MS,ربيعي,3.0,0.03,7,1.0,2.0,0.0,2.0,1.0,most_5k_frequent
يغطون,word,1.18,0.34,3.08,يُغَطّونَ,V + PRON,أغط,3.0,0.03,5,0.0,3.0,0.0,1.0,1.0,other_7k_frequent
تنساها,word,1.1,0.33,3.05,تَنْساُها,NOUN-MS + PRON,تنسا,1.0,0.01,6,1.0,4.0,0.0,0.0,1.0,other_7k_frequent
تكبيقه,nonword,,,,,,,,,6,,,,,,
مجتيهي,nonword,,,,,,,,,6,,,,,,
يجئل,nonword,,,,,,,,,4,,,,,,
يسمع,word,25.01,1.42,4.4,يَسْمَعُ,V,سمع,96.0,0.79,4,0.0,13.0,0.0,6.0,1.0,other_7k_frequent
خفث,nonword,,,,,,,,,3,,,,,,
المدفأة,word,2.76,0.58,3.45,المدفأةْ,DET + NOUN-FS + NSUFF,مدفأ,2.0,0.02,7,0.0,0.0,0.0,0.0,0.0,other_7k_frequent
انضمام,word,1.38,0.38,3.14,انْضِمامُ,NOUN-MS,انضمام,11.0,0.09,6,1.0,0.0,0.0,3.0,1.0,most_5k_frequent
ديقع,nonword,,,,,,,,,4,,,,,,
بياسي,nonword,,,,,,,,,5,,,,,,
تستطيع,word,261.22,2.42,5.42,تَسْتَطيعُ,V,استطاع,46.0,0.38,6,1.0,3.0,0.0,8.0,1.0,most_5k_frequent
قطة,word,16.27,1.24,4.22,قِطَّةٌ,NOUN-FS + NSUFF,قط,21.0,0.18,3,0.0,19.0,0.0,5.0,1.0,other_7k_frequent
يفي,word,6.2,0.86,3.8,يَفيَ,V,وفى,10.0,0.09,3,1.0,22.0,1.0,25.0,1.0,other_7k_frequent
مقحر,nonword,,,,,,,,,4,,,,,,
الصاعدة,word,0.66,0.23,2.82,الصّاعِدَةُ,DET + ADJ-FS + NSUFF,صاعد,7.0,0.06,7,1.0,3.0,0.0,0.0,1.0,other_7k_frequent
محتوم,word,1.61,0.42,3.21,مَحْتومٌ,NOUN-MS,محتوم,4.0,0.04,5,1.0,10.0,0.0,2.0,1.0,other_7k_frequent
ينزة,nonword,,,,,,,,,4,,,,,,
الباقون,word,2.5,0.55,3.4,الباقونَ,DET + NOUN-MP + NSUFF,باقي,16.0,0.14,7,1.0,4.0,0.0,0.0,1.0,other_7k_frequent
حيلة,word,21.83,1.36,4.34,حيلَةٌ,NOUN-FS + NSUFF,حيلة,9.0,0.08,4,0.0,11.0,1.0,3.0,1.06,other_7k_frequent
خمول,word,0.42,0.16,2.63,خُمولٌ,NOUN-MS,خمول,2.0,0.02,4,0.0,8.0,1.0,0.0,1.1,other_7k_frequent
تسرائها,nonword,,,,,,,,,7,,,,,,
حققت,word,12.73,1.14,4.11,حَقَّقَتْ,V + PRON,حقق,31.0,0.26,4,1.0,7.0,0.0,3.0,1.0,other_7k_frequent
الغضب,word,35.05,1.56,4.55,الغَضَبُ,DET + NOUN-MS,غضب,36.0,0.3,5,0.0,4.0,0.0,3.0,1.0,most_5k_frequent
ملبه,nonword,,,,,,,,,4,,,,,,
ملمو,nonword,,,,,,,,,4,,,,,,
روط,nonword,,,,,,,,,3,,,,,,
المحضرير,nonword,,,,,,,,,8,,,,,,
ثق,word,43.07,1.65,4.64,ثِقْ,NOUN-MS,ثق,4.0,0.04,2,0.0,8.0,0.0,12.0,1.0,other_7k_frequent
تحرم,word,1.0,0.31,3.0,تَحْرُمُ,V,حرم,9.0,0.08,4,0.0,26.0,2.0,1.0,1.0,other_7k_frequent
أنزام,nonword,,,,,,,,,5,,,,,,
تصريح,word,18.33,1.29,4.27,تَصْريحٌ,NOUN-MS,تصريح,11.0,0.09,5,0.0,7.0,0.0,6.0,1.0,most_5k_frequent
إقاتك,nonword,,,,,,,,,5,,,,,,
تذ,nonword,,,,,,,,,2,,,,,,
هزاك,nonword,,,,,,,,,4,,,,,,
يتقظ,nonword,,,,,,,,,4,,,,,,
ويسيد,nonword,,,,,,,,,5,,,,,,
الحالية,word,14.43,1.19,4.16,الحاليَّةُ,DET + ADJ-FP + NSUFF,حالي,6.0,0.05,7,1.0,13.0,0.0,0.0,1.0,most_5k_frequent
التسهما,nonword,,,,,,,,,7,,,,,,
