item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
وجدت,word,248.5,2.4,5.4,وَجَدتْ,V + PRON,وجد,150.0,1.22,4,0.0,17.0,0.0,8.0,1.0,other_7k_frequent
نشها,nonword,,,,,,,,,4,,,,,,
كشطا,nonword,,,,,,,,,4,,,,,,
مليئه,word,1.35,0.38,3.14,مَليئُهُ,ADJ-MS + PRON,مليء,12.0,0.1,5,0.0,3.0,0.0,0.0,1.0,other_7k_frequent
يلجأ,word,1.78,0.45,3.26,يَلْجَأُ,V,لجأ,6.0,0.05,4,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
مكثنا,word,0.59,0.21,2.78,مَكَثْنا,NOUN-MS + PRON,مكث,9.0,0.08,5,0.0,3.0,0.0,0.0,1.0,other_7k_frequent
التجنبر,nonword,,,,,,,,,7,,,,,,
العزز,nonword,,,,,,,,,5,,,,,,
عذنا,nonword,,,,,,,,,4,,,,,,
يجعلق,nonword,,,,,,,,,5,,,,,,
يؤسس,word,0.55,0.2,2.75,يُؤَسِّسُ,V,أسس,7.0,0.06,4,1.0,4.0,0.0,0.0,1.0,other_7k_frequent
مباع,word,0.44,0.16,2.65,مباعْ,NOUN-MS,مباع,3.0,0.03,4,0.0,10.0,0.0,1.0,1.0,other_7k_frequent
استعدت,word,6.14,0.86,3.79,اسْتَعَدَّتْ,V + PRON,استعد,23.0,0.19,6,1.0,6.0,1.0,2.0,1.1,other_7k_frequent
جرجن,nonword,,,,,,,,,4,,,,,,
شدة,word,9.08,1.01,3.96,شِدَّةِ,NOUN-FS + NSUFF,شدة,5.0,0.05,3,0.0,14.0,0.0,4.0,1.0,other_7k_frequent
شتلي,nonword,,,,,,,,,4,,,,,,
أبرم,word,1.17,0.34,3.07,أُبْرِمُ,V,أبرم,3.0,0.03,4,0.0,14.0,0.0,2.0,1.0,other_7k_frequent
المسابح,word,0.51,0.18,2.71,المَسابِحِ,DET + NOUN-FP,مسبح,3.0,0.03,7,1.0,3.0,0.0,0.0,1.0,other_7k_frequent
الإنسحاد,nonword,,,,,,,,,8,,,,,,
تصنيع,word,3.05,0.61,3.49,تَصْنيعُ,NOUN-MS,تصنيع,6.0,0.05,5,0.0,1.0,1.0,3.0,1.14,most_5k_frequent
أفث,nonword,,,,,,,,,3,,,,,,
معلنص,nonword,,,,,,,,,5,,,,,,
رومانسية,word,12.57,1.14,4.1,رومانْسيَّةٌ,ADJ-FS + NSUFF,رومانسي,9.0,0.08,8,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
مذنبة,word,8.31,0.97,3.92,مُذَنَّبَةٌ,ADJ-MP + NSUFF,مذنب,11.0,0.09,5,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
مفاتي,nonword,,,,,,,,,5,,,,,,
مجدالب,nonword,,,,,,,,,6,,,,,,
ضربة,word,42.57,1.64,4.63,ضَرْبَةٌ,NOUN-FS + NSUFF,ضربة,14.0,0.12,4,0.0,11.0,0.0,5.0,1.0,other_7k_frequent
بماف,nonword,,,,,,,,,4,,,,,,
النهن,nonword,,,,,,,,,5,,,,,,
استجدات,nonword,,,,,,,,,7,,,,,,
اللبلداء,nonword,,,,,,,,,8,,,,,,
أخذته,word,14.3,1.19,4.16,أَخَذَتْهُ,V + PRON + PRON,أخذ,201.0,1.64,5,0.0,7.0,0.0,5.0,1.0,other_7k_frequent
سافظ,nonword,,,,,,,,,4,,,,,,
حلوزن,nonword,,,,,,,,,5,,,,,,
تليز,nonword,,,,,,,,,4,,,,,,
التزاملة,nonword,,,,,,,,,8,,,,,,
يحسن,word,7.61,0.94,3.89,يُحْسِنُ,V,حسن,16.0,0.14,4,0.0,14.0,0.0,2.0,1.0,other_7k_frequent
وشحو,nonword,,,,,,,,,4,,,,,,
مسمى,word,4.6,0.75,3.67,مُسَمًّى,NOUN-MS,مسمى,3.0,0.03,4,1.0,7.0,0.0,0.0,1.0,other_7k_frequent
ملبا,nonword,,,,,,,,,4,,,,,,
قواضيفه,nonword,,,,,,,,,7,,,,,,
الإيجابي,word,5.14,0.79,3.72,الإيجابيُّ,DET + ADJ-MS,إيجابي,6.0,0.05,8,1.0,0.0,0.0,1.0,1.0,most_5k_frequent
تلمته,nonword,,,,,,,,,5,,,,,,
دراسي,word,3.54,0.66,3.55,دِراسيٌّ,ADJ-MS,دراسي,5.0,0.05,5,0.0,6.0,1.0,3.0,1.08,other_7k_frequent
الاستبعين,nonword,,,,,,,,,9,,,,,,
أفراء,nonword,,,,,,,,,5,,,,,,
دعف,nonword,,,,,,,,,3,,,,,,
عديم,word,24.21,1.41,4.39,عَديمُ,ADJ-MS,عديم,6.0,0.05,4,0.0,9.0,0.0,4.0,1.0,other_7k_frequent
عصا,word,16.28,1.24,4.22,عَصا,NOUN-FS,عصا,8.0,0.07,3,0.0,14.0,0.0,7.0,1.0,other_7k_frequent
وافق,word,18.35,1.29,4.27,وافَقَ,V,وافق,33.0,0.27,4,0.0,8.0,2.0,9.0,1.05,other_7k_frequent
كلكر,nonword,,,,,,,,,4,,,,,,
حظيف,nonword,,,,,,,,,4,,,,,,
شقض,nonword,,,,,,,,,3,,,,,,
مصمم,word,11.17,1.09,4.05,مُصَمِّمٌ,ADJ-MS,مصمم,10.0,0.09,4,1.0,5.0,0.0,4.0,1.0,other_7k_frequent
صحافة,word,1.95,0.47,3.3,صِحافَةُ,NOUN-FS + NSUFF,صحافة,5.0,0.05,5,0.0,3.0,0.0,1.0,1.0,other_7k_frequent
الاستقلال,word,4.21,0.72,3.63,الِاسْتِقْلالُ,DET + NOUN-MS,استقلال,2.0,0.02,9,1.0,2.0,0.0,0.0,1.0,most_5k_frequent
الصغيرين,word,1.51,0.4,3.18,الصَّغيرَيْنِ,DET + ADJ-FS + NSUFF,صغير,33.0,0.27,8,1.0,1.0,0.0,1.0,1.0,other_7k_frequent
ضياع,word,1.58,0.42,3.2,ضَياعُ,NOUN-MS,ضياع,3.0,0.03,4,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
وتتعات,nonword,,,,,,,,,6,,,,,,
السليمة,word,2.29,0.52,3.36,السَّليمَةُ,DET + NOUN-FS + NSUFF,سليم,8.0,0.07,7,1.0,2.0,1.0,0.0,1.25,most_5k_frequent
استعمدة,nonword,,,,,,,,,7,,,,,,
غريم,word,2.16,0.5,3.34,غَريمٌ,NOUN-MS,غريم,2.0,0.02,4,0.0,18.0,0.0,4.0,1.0,other_7k_frequent
يريدون,word,115.68,2.07,5.07,يُريدونَ,V + PRON,أراد,121.0,0.99,6,1.0,10.0,0.0,6.0,1.0,other_7k_frequent
قريب,word,73.23,1.88,4.87,قَريبٌ,ADJ-MS,قريب,24.0,0.2,4,0.0,10.0,2.0,5.0,1.11,other_7k_frequent
ركب,word,3.89,0.69,3.59,رَكِبَ,NOUN-MS,ركب,32.0,0.27,3,0.0,18.0,2.0,14.0,1.0,other_7k_frequent
الطيب,word,10.2,1.05,4.01,الطَّيِّبُ,DET + NOUN-MS,طيب,14.0,0.12,5,0.0,11.0,1.0,3.0,1.06,most_5k_frequent
تماخ,nonword,,,,,,,,,4,,,,,,
كثق,nonword,,,,,,,,,3,,,,,,
عقبلية,nonword,,,,,,,,,6,,,,,,
اللانقلين,nonword,,,,,,,,,9,,,,,,
نطعة,nonword,,,,,,,,,4,,,,,,
مضائم,nonword,,,,,,,,,5,,,,,,
وفعب,nonword,,,,,,,,,4,,,,,,
مطلقة,word,6.85,0.9,3.84,مُطْلَقَةٌ,ADJ-MP + NSUFF,مطلق,10.0,0.09,5,0.0,12.0,0.0,1.0,1.0,other_7k_frequent
مقيما,word,1.29,0.36,3.12,مُقيمًا,NOUN-MS + CASE,مقيم,8.0,0.07,5,1.0,7.0,0.0,0.0,1.0,other_7k_frequent
الدائهم,nonword,,,,,,,,,7,,,,,,
الماتين,nonword,,,,,,,,,7,,,,,,
دمنا,word,3.34,0.64,3.53,دُمُنا,NOUN-MS + PRON,دام,11.0,0.09,4,0.0,15.0,1.0,6.0,1.0,other_7k_frequent
المسرح,word,52.75,1.74,4.73,المَسْرَحُ,DET + NOUN-MS,مسرح,9.0,0.08,6,0.0,9.0,0.0,3.0,1.0,most_5k_frequent
البيع,word,21.14,1.35,4.33,البَيْعِ,DET + NOUN-MS,بيع,25.0,0.21,5,0.0,8.0,0.0,4.0,1.0,most_5k_frequent
دفنه,word,2.74,0.58,3.44,دَفْنَهُ,NOUN-MS + PRON,دفن,27.0,0.22,4,0.0,6.0,0.0,6.0,1.0,other_7k_frequent
الكابتن,word,34.01,1.55,4.54,الكابْتِنُ,DET + NOUN-MS,كابتن,4.0,0.04,7,1.0,1.0,0.0,1.0,1.0,most_5k_frequent
شعول,nonword,,,,,,,,,4,,,,,,
قدارف,nonword,,,,,,,,,5,,,,,,
