item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
شأن,word,26.58,1.45,4.43,شَأْنٌ,NOUN-MS,شأن,43.0,0.35,3,0.0,12.0,0.0,6.0,1.0,other_7k_frequent
مستعجل,word,3.77,0.68,3.58,مُسْتَعْجِلٌ,ADJ-MS,مستعجل,3.0,0.03,6,0.0,5.0,0.0,2.0,1.0,other_7k_frequent
وتويذة,nonword,,,,,,,,,6,,,,,,
ضمنيا,word,0.83,0.27,2.92,ضِمْنيًّا,ADJ-MS + CASE,ضمني,3.0,0.03,5,0.0,4.0,1.0,0.0,1.14,other_7k_frequent
موجع,word,0.54,0.19,2.74,موجِعٌ,ADJ-MS,موجع,2.0,0.02,4,0.0,14.0,0.0,1.0,1.0,other_7k_frequent
تأكدنا,word,2.58,0.56,3.42,تَأَكَّدْنا,NOUN-MS + PRON,تأكد,34.0,0.28,6,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
ودمة,nonword,,,,,,,,,4,,,,,,
عوب,nonword,,,,,,,,,3,,,,,,
ذاسا,nonword,,,,,,,,,4,,,,,,
السيف,word,19.51,1.32,4.3,السَّيْفُ,DET + NOUN-MS,سيف,19.0,0.16,5,0.0,13.0,0.0,5.0,1.0,most_5k_frequent
الصحافيون,word,0.5,0.18,2.7,الصِّحافيّونَ,DET + NOUN-MP + NSUFF,صحافي,7.0,0.06,9,1.0,1.0,0.0,0.0,1.0,other_7k_frequent
يكية,nonword,,,,,,,,,4,,,,,,
الشعبي,word,3.4,0.65,3.54,الشَّعْبيُّ,DET + ADJ-MS,شعبي,4.0,0.04,6,0.0,3.0,0.0,1.0,1.0,most_5k_frequent
توكض,nonword,,,,,,,,,4,,,,,,
المتلفية,nonword,,,,,,,,,8,,,,,,
سنويذة,nonword,,,,,,,,,6,,,,,,
المناسيات,nonword,,,,,,,,,9,,,,,,
إمنفر,nonword,,,,,,,,,5,,,,,,
الثنائية,word,1.83,0.46,3.27,الثُّنائيَّةُ,DET + ADJ-FS + NSUFF,ثنائي,8.0,0.07,8,1.0,2.0,0.0,0.0,1.0,most_5k_frequent
اتحاد,word,11.76,1.11,4.08,اتِّحادُ,NOUN-MS,اتحاد,9.0,0.08,5,1.0,1.0,0.0,3.0,1.0,most_5k_frequent
ورجابهم,nonword,,,,,,,,,7,,,,,,
رفض,word,37.67,1.59,4.58,رَفْضَ,V,رفض,42.0,0.35,3,0.0,7.0,1.0,13.0,1.0,other_7k_frequent
الملاحنات,nonword,,,,,,,,,9,,,,,,
عررت,nonword,,,,,,,,,4,,,,,,
تكسوبة,nonword,,,,,,,,,6,,,,,,
تركهف,nonword,,,,,,,,,5,,,,,,
خزعة,word,1.13,0.33,3.06,خَزْعَةٌ,NOUN-FS + NSUFF,خزع,2.0,0.02,4,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
رأيه,word,15.16,1.21,4.19,رَأْيُهُ,NOUN-MS + PRON,رأي,39.0,0.32,4,0.0,9.0,1.0,4.0,1.06,other_7k_frequent
فك,word,17.25,1.27,4.24,فَكُّ,NOUN-MS,فك,15.0,0.13,2,0.0,30.0,1.0,26.0,1.0,other_7k_frequent
جبط,nonword,,,,,,,,,3,,,,,,
أجرته,word,0.65,0.22,2.82,أَجْرَتْهُ,V + PRON + PRON,أجرى,31.0,0.26,5,0.0,8.0,0.0,3.0,1.0,other_7k_frequent
الانقسام,word,1.55,0.41,3.2,الِانْقِسامُ,DET + NOUN-MS,انقسام,2.0,0.02,8,1.0,0.0,0.0,0.0,0.0,most_5k_frequent
الحشرية,word,1.19,0.35,3.08,الحَشَريَّةِ,DET + ADJ-FS + NSUFF,حشري,2.0,0.02,7,0.0,5.0,0.0,0.0,1.0,other_7k_frequent
معظم,word,88.38,1.96,4.95,مُعْظَمُ,NOUN-MS,معظم,13.0,0.11,4,1.0,10.0,0.0,5.0,1.0,other_7k_frequent
الحيوبة,nonword,,,,,,,,,7,,,,,,
يحول,word,6.57,0.88,3.82,يَحولُ,V,حال,39.0,0.32,4,0.0,21.0,1.0,6.0,1.0,other_7k_frequent
مقاوم,word,1.42,0.39,3.16,مُقاوِمُ,NOUN-MS,مقاوم,2.0,0.02,5,1.0,5.0,0.0,1.0,1.0,other_7k_frequent
ختف,nonword,,,,,,,,,3,,,,,,
زوجاتهم,word,3.21,0.63,3.51,زَوْجاتِهِمْ,NOUN-FP + NSUFF + PRON,زوجة,29.0,0.24,7,0.0,1.0,0.0,1.0,1.0,other_7k_frequent
شككت,word,4.77,0.77,3.68,شَكَّكتْ,V + PRON,شكك,8.0,0.07,4,1.0,4.0,0.0,0.0,1.0,other_7k_frequent
أجذت,nonword,,,,,,,,,4,,,,,,
أوردة,word,0.43,0.16,2.64,أَوْرِدَةُ,V + NSUFF,وريد,6.0,0.05,5,0.0,0.0,0.0,0.0,1.0,other_7k_frequent
التهوية,word,4.46,0.74,3.65,التَّهْويَةُ,DET + NOUN-FS + NSUFF,تهوية,2.0,0.02,7,0.0,2.0,0.0,1.0,1.0,other_7k_frequent
يحدود,nonword,,,,,,,,,5,,,,,,
فساع,nonword,,,,,,,,,4,,,,,,
الفكرة,word,62.29,1.81,4.8,الفِكْرَةُ,DET + NOUN-FS + NSUFF,فكرة,17.0,0.14,6,0.0,8.0,1.0,4.0,1.06,most_5k_frequent
قياتكم,nonword,,,,,,,,,6,,,,,,
عائد,word,13.36,1.16,4.13,عائِدٌ,NOUN-MS,عائد,14.0,0.12,4,0.0,10.0,0.0,3.0,1.0,other_7k_frequent
تراعفة,nonword,,,,,,,,,6,,,,,,
شريك,word,31.73,1.52,4.51,شَريكٌ,NOUN-MS,شريك,35.0,0.29,4,0.0,19.0,0.0,12.0,1.0,other_7k_frequent
ليخة,nonword,,,,,,,,,4,,,,,,
