item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
مكتوبة,word,7.78,0.95,3.9,مَكْتوبَةٌ,ADJ-FS + NSUFF,مكتوب,6.0,0.05,6,0.0,4.0,0.0,0.0,1.0,other_7k_frequent
القبيحة,word,4.38,0.74,3.65,القَبيحَةِ,DET + ADJ-FS + NSUFF,قبيح,9.0,0.08,7,0.0,2.0,0.0,0.0,1.0,other_7k_frequent
تفضل,word,157.55,2.21,5.2,تُفَضِّلُ,V,فضل,42.0,0.35,4,0.0,10.0,0.0,11.0,1.0,most_5k_frequent
نفض,word,0.72,0.24,2.86,نَفْضَ,V,فضا,1.0,0.01,3,0.0,18.0,0.0,4.0,1.0,other_7k_frequent
همح,nonword,,,,,,,,,3,,,,,,
السهومة,nonword,,,,,,,,,7,,,,,,
مخياه,nonword,,,,,,,,,5,,,,,,
الواردة,word,2.69,0.57,3.43,الوارِدَةُ,DET + NOUN-FS + NSUFF,وارد,6.0,0.05,7,1.0,4.0,0.0,0.0,1.0,most_5k_frequent
دادح,nonword,,,,,,,,,4,,,,,,
إعلامية,word,1.82,0.46,3.27,إِعْلاميَّةٌ,ADJ-FP + NSUFF,إعلامي,6.0,0.05,7,0.0,3.0,0.0,0.0,1.0,most_5k_frequent
المكبوا,nonword,,,,,,,,,7,,,,,,
القديس,word,13.75,1.17,4.14,القِدّيسُ,DET + NOUN-MS,قديس,8.0,0.07,6,0.0,4.0,0.0,1.0,1.0,most_5k_frequent
ثنائي,word,15.12,1.21,4.18,ثُنائيُّ,ADJ-MS,ثنائي,8.0,0.07,5,0.0,3.0,0.0,3.0,1.0,most_5k_frequent
ثورا,word,1.1,0.33,3.05,ثَوْرًا,NOUN-MS + CASE,ثور,10.0,0.09,4,0.0,18.0,1.0,3.0,1.0,other_7k_frequent
أطول,word,62.81,1.81,4.8,أَطْوَلُ,ADJ-MS,أطول,4.0,0.04,4,0.0,19.0,0.0,4.0,1.0,most_5k_frequent
حازما,word,0.98,0.3,3.0,حازِمًا,ADJ-MS + CASE,حازم,3.0,0.03,5,1.0,5.0,1.0,0.0,1.13,other_7k_frequent
المجتمة,nonword,,,,,,,,,7,,,,,,
منظار,word,2.46,0.54,3.4,مِنْظارِ,NOUN-MS,منظار,3.0,0.03,5,0.0,5.0,2.0,0.0,1.25,other_7k_frequent
مثقتهم,nonword,,,,,,,,,6,,,,,,
أشغال,word,0.79,0.26,2.9,أَشْغالُ,NOUN-FP,شغل,36.0,0.3,5,0.0,3.0,0.0,0.0,1.0,most_5k_frequent
بكنة,nonword,,,,,,,,,4,,,,,,
المتلاقة,nonword,,,,,,,,,8,,,,,,
تنتسل,nonword,,,,,,,,,5,,,,,,
مسؤولين,word,4.11,0.71,3.62,مَسْؤولينَ,NOUN-MP + NSUFF,مسؤول,19.0,0.16,7,0.0,3.0,0.0,0.0,1.0,other_7k_frequent
أرجسوس,nonword,,,,,,,,,6,,,,,,
سائعه,nonword,,,,,,,,,5,,,,,,
